[[ 0.34871334  0.6512866 ]]
[[ 0.15328576  0.84671426]]
[[ 0.75220257  0.24779741]]
[[ 0.16073599  0.83926398]]
[[ 0.19072782  0.80927217]]
[[ 0.93431675  0.06568322]]
[[ 0.9554109   0.04458909]]
[[ 0.48182288  0.51817715]]
[[ 0.24063234  0.7593677 ]]
[[ 0.36379066  0.63620931]]
[[ 0.27571353  0.72428644]]
[[ 0.1614227   0.83857739]]
[[ 0.65677392  0.3432261 ]]
[[ 0.95800513  0.04199487]]
[[ 0.88813913  0.11186086]]
[[ 0.84587246  0.15412752]]
[[ 0.55676097  0.443239  ]]
[[ 0.31446883  0.68553114]]
[[ 0.49987805  0.50012189]]
[[ 0.86501878  0.1349812 ]]
[[ 0.07845301  0.921547  ]]
[[ 0.85902053  0.14097944]]
[[ 0.15806971  0.84193033]]
[[ 0.79317647  0.20682357]]
[[ 0.97816384  0.02183611]]
[[ 0.70514673  0.2948533 ]]
[[ 0.16919069  0.83080935]]
[[ 0.32638997  0.67361003]]
[[ 0.9116841   0.08831589]]
[[ 0.41917795  0.58082211]]
[[ 0.20245066  0.79754937]]
[[ 0.85539597  0.1446041 ]]
[[ 0.0504876   0.94951242]]
[[ 0.14799581  0.85200417]]
[[ 0.16636415  0.83363581]]
[[ 0.36665827  0.63334167]]
[[ 0.94617569  0.05382439]]
[[ 0.12327165  0.87672836]]
[[ 0.18706259  0.81293744]]
[[ 0.5140751   0.48592487]]
[[ 0.81046951  0.18953048]]
[[ 0.32672828  0.67327178]]
[[ 0.38749164  0.61250836]]
[[ 0.78498226  0.21501775]]
[[ 0.51545012  0.48454997]]
[[ 0.30882147  0.69117856]]
[[ 0.19802931  0.80197072]]
[[ 0.11599419  0.88400584]]
[[ 0.77952337  0.22047661]]
[[ 0.91551137  0.0844887 ]]
[[ 0.53412473  0.46587524]]
[[ 0.92694771  0.07305229]]
[[ 0.17093571  0.82906431]]
[[ 0.82627153  0.17372838]]
[[ 0.18168968  0.81831032]]
[[ 0.14647035  0.85352963]]
[[ 0.29251009  0.70748991]]
[[ 0.05235314  0.94764686]]
[[ 0.93529868  0.0647013 ]]
[[ 0.21262877  0.78737128]]
[[ 0.91193002  0.08806999]]
[[ 0.67580432  0.32419568]]
[[ 0.79815841  0.20184165]]
[[ 0.21957947  0.78042048]]
[[ 0.42675853  0.57324147]]
[[ 0.72384888  0.27615115]]
[[ 0.7999388   0.20006123]]
[[ 0.9932614   0.00673862]]
[[ 0.16210973  0.83789027]]
[[ 0.83862591  0.16137411]]
[[ 0.48794901  0.51205093]]
[[ 0.09458907  0.90541095]]
[[ 0.23352796  0.76647204]]
[[ 0.9105013   0.08949863]]
[[ 0.91646814  0.08353186]]
[[ 0.5272764   0.47272357]]
[[ 0.9767049   0.02329502]]
[[ 0.67738247  0.32261759]]
[[ 0.51589632  0.48410368]]
[[ 0.56715256  0.43284741]]
[[ 0.22184475  0.77815521]]
[[ 0.95192868  0.04807124]]
[[ 0.14870833  0.85129172]]
[[ 0.4413878   0.55861211]]
[[ 0.40606776  0.59393221]]
[[ 0.34208837  0.65791166]]
[[ 0.11310487  0.88689512]]
[[ 0.41937268  0.58062726]]
[[ 0.84679204  0.15320793]]
[[ 0.8962369   0.10376313]]
[[ 0.30248195  0.69751811]]
[[ 0.04925069  0.95074934]]
[[ 0.71593022  0.28406978]]
[[ 0.29952669  0.70047325]]
[[ 0.82269806  0.17730187]]
[[ 0.82276088  0.17723913]]
[[ 0.08295757  0.91704243]]
[[ 0.50272745  0.49727255]]
[[ 0.23662958  0.76337039]]
[[ 0.1149036   0.88509637]]
[[ 0.14114441  0.85885555]]
[[ 0.15391596  0.84608406]]
[[ 0.78336102  0.21663903]]
[[ 0.73461592  0.26538408]]
[[ 0.39481178  0.60518831]]
[[ 0.95287484  0.04712513]]
[[ 0.31539604  0.68460393]]
[[ 0.20708652  0.79291344]]
[[ 0.28626052  0.71373951]]
[[ 0.08842137  0.9115786 ]]
[[ 0.28549305  0.71450692]]
[[ 0.92927372  0.0707262 ]]
[[ 0.2802017   0.71979833]]
[[ 0.56489801  0.43510205]]
[[ 0.24555713  0.75444287]]
[[ 0.0925191  0.9074809]]
[[ 0.16474104  0.83525902]]
[[ 0.27348161  0.72651839]]
[[ 0.7269628   0.27303714]]
[[ 0.23647621  0.76352376]]
