[[ 0.22626036  0.77373964]]
[[ 0.50767893  0.49232113]]
[[ 0.22911614  0.7708838 ]]
[[ 0.73423713  0.26576281]]
[[ 0.1728812   0.82711875]]
[[ 0.23983036  0.76016963]]
[[ 0.8548817   0.14511833]]
[[ 0.93473083  0.06526922]]
[[ 0.5572418   0.44275823]]
[[ 0.4461641   0.55383593]]
[[ 0.9564293   0.04357072]]
[[ 0.08373202  0.91626793]]
[[ 0.17109188  0.82890809]]
[[ 0.96939206  0.03060793]]
[[ 0.07656528  0.92343467]]
[[ 0.02964261  0.97035742]]
[[ 0.06535536  0.9346447 ]]
[[ 0.16551656  0.83448344]]
[[ 0.18894574  0.81105429]]
[[ 0.87801218  0.12198786]]
[[ 0.80130774  0.19869226]]
[[ 0.17648965  0.82351041]]
[[ 0.95070606  0.04929401]]
[[ 0.10491387  0.89508617]]
[[ 0.50401419  0.49598578]]
[[ 0.19747318  0.80252677]]
[[ 0.27578905  0.72421098]]
[[ 0.9623878   0.03761223]]
[[ 0.50907326  0.49092677]]
[[ 0.62543017  0.37456992]]
[[ 0.11665878  0.88334125]]
[[ 0.67210287  0.32789713]]
[[ 0.27845797  0.72154212]]
[[ 0.09130382  0.90869617]]
[[ 0.48680764  0.51319236]]
[[ 0.7704162   0.22958384]]
[[ 0.97466981  0.02533016]]
[[ 0.59802932  0.40197068]]
[[ 0.32193133  0.67806864]]
[[ 0.37989944  0.6201005 ]]
[[ 0.69913435  0.30086571]]
[[ 0.15024354  0.84975648]]
[[ 0.5300256   0.46997443]]
[[ 0.70749134  0.29250869]]
[[ 0.21412754  0.7858724 ]]
[[ 0.60176879  0.39823115]]
[[ 0.116146    0.88385403]]
[[ 0.24613114  0.75386888]]
[[ 0.21538419  0.78461581]]
[[ 0.28169951  0.71830052]]
[[ 0.6385082   0.36149189]]
[[ 0.76185513  0.23814484]]
[[ 0.55676097  0.443239  ]]
[[ 0.84704566  0.15295434]]
[[ 0.08938966  0.91061032]]
[[ 0.33107597  0.66892397]]
[[ 0.2069297   0.79307032]]
[[ 0.08305877  0.91694129]]
[[ 0.30017003  0.69982994]]
[[ 0.15362059  0.84637946]]
[[ 0.83497584  0.16502419]]
[[ 0.92183852  0.07816149]]
[[ 0.74288386  0.25711617]]
[[ 0.5635488   0.43645117]]
[[ 0.05274022  0.94725984]]
[[ 0.32429764  0.67570233]]
[[ 0.69856429  0.30143574]]
[[ 0.17761651  0.82238352]]
[[ 0.17093571  0.82906431]]
[[ 0.48035067  0.51964933]]
[[ 0.054265    0.94573498]]
