[[ 0.2264124   0.77358764]]
[[ 0.20225473  0.79774535]]
[[ 0.10622761  0.89377236]]
[[ 0.31883189  0.68116808]]
[[ 0.08721352  0.91278648]]
[[ 0.17121553  0.82878447]]
[[ 0.16668612  0.83331394]]
[[ 0.38980028  0.61019975]]
[[ 0.07188498  0.92811501]]
[[ 0.10433284  0.89566714]]
[[ 0.81419462  0.18580541]]
[[ 0.43946826  0.56053174]]
[[ 0.26599342  0.73400658]]
[[ 0.09351867  0.90648133]]
[[ 0.75444615  0.24555388]]
[[ 0.41332659  0.58667344]]
[[ 0.13028775  0.86971229]]
[[ 0.10185905  0.89814097]]
[[ 0.13102236  0.86897767]]
[[ 0.1342652   0.86573476]]
[[ 0.93427867  0.06572127]]
[[ 0.15575649  0.84424353]]
[[ 0.82679391  0.17320608]]
[[ 0.78131109  0.21868892]]
[[ 0.13832977  0.86167026]]
[[ 0.17757635  0.8224237 ]]
[[ 0.18496095  0.8150391 ]]
[[ 0.19914159  0.80085838]]
[[ 0.74825209  0.25174794]]
[[ 0.2026701   0.79732996]]
[[ 0.13347106  0.86652887]]
[[ 0.2064864   0.79351354]]
[[ 0.32986888  0.67013109]]
[[ 0.12702733  0.87297267]]
[[ 0.83802933  0.16197073]]
[[ 0.94200021  0.05799983]]
[[ 0.20643546  0.79356456]]
[[ 0.29935744  0.70064253]]
[[ 0.71487343  0.2851266 ]]
[[ 0.30776694  0.69223303]]
[[ 0.32521757  0.6747824 ]]
[[ 0.58934128  0.41065881]]
[[ 0.19266698  0.80733299]]
[[ 0.08560075  0.91439921]]
[[ 0.51389128  0.48610866]]
[[ 0.24514833  0.7548517 ]]
[[ 0.04634732  0.95365262]]
[[ 0.13606679  0.86393321]]
[[ 0.32771164  0.67228836]]
[[ 0.92897666  0.07102332]]
[[ 0.29294267  0.7070573 ]]
[[ 0.15524536  0.84475464]]
[[ 0.18160659  0.81839341]]
[[ 0.95857042  0.04142955]]
[[ 0.34052119  0.65947884]]
[[ 0.10436675  0.89563322]]
[[ 0.09783291  0.90216714]]
[[ 0.21055537  0.78944463]]
[[ 0.21348676  0.78651321]]
[[ 0.09849492  0.90150511]]
[[ 0.37380072  0.62619925]]
[[ 0.15416367  0.84583634]]
[[ 0.38750991  0.61249012]]
[[ 0.08161213  0.91838789]]
[[ 0.33022562  0.66977435]]
[[ 0.36257586  0.63742405]]
[[ 0.0963793   0.90362066]]
[[ 0.18375333  0.81624669]]
[[ 0.97489876  0.0251012 ]]
[[ 0.80742592  0.19257404]]
[[ 0.18028413  0.81971586]]
[[ 0.08025823  0.91974181]]
[[ 0.33284143  0.6671586 ]]
[[ 0.26893088  0.73106915]]
[[ 0.13178904  0.86821091]]
[[ 0.27846241  0.72153765]]
[[ 0.02619034  0.97380972]]
[[ 0.1372807  0.8627193]]
[[ 0.10408148  0.89591855]]
[[ 0.13164389  0.86835605]]
[[ 0.09028301  0.90971702]]
[[ 0.16275325  0.83724678]]
[[ 0.44076598  0.55923396]]
[[ 0.15923822  0.84076178]]
[[ 0.76425678  0.23574317]]
[[ 0.10728326  0.89271683]]
[[ 0.1292298   0.87077016]]
[[ 0.08064914  0.91935086]]
[[ 0.19227311  0.80772686]]
[[ 0.19490874  0.80509126]]
[[ 0.94422626  0.05577372]]
[[ 0.15051925  0.84948075]]
[[ 0.13602673  0.86397332]]
[[ 0.06979248  0.93020755]]
[[ 0.1660272   0.83397281]]
[[ 0.1363859   0.86361414]]
[[ 0.19667138  0.80332863]]
