[[ 0.1073641   0.89263588]]
[[ 0.22518106  0.7748189 ]]
[[ 0.71943188  0.28056812]]
[[ 0.44445774  0.55554223]]
[[ 0.4669821   0.53301799]]
[[ 0.13608208  0.86391789]]
[[ 0.75517815  0.24482185]]
[[ 0.02551469  0.97448528]]
[[ 0.70387328  0.29612675]]
[[ 0.59473181  0.40526822]]
[[ 0.74947757  0.2505224 ]]
[[ 0.1182854   0.88171458]]
[[ 0.12372005  0.87627995]]
[[ 0.96557105  0.03442894]]
[[ 0.09376229  0.90623778]]
[[ 0.12235872  0.87764132]]
[[ 0.07622556  0.92377442]]
[[ 0.03726505  0.96273494]]
[[ 0.47413945  0.52586061]]
[[ 0.5980162   0.40198383]]
[[ 0.05142758  0.9485724 ]]
[[ 0.42722985  0.57277012]]
[[ 0.03595315  0.96404684]]
[[ 0.03810827  0.96189177]]
[[ 0.01356675  0.98643327]]
[[ 0.26397118  0.73602891]]
[[ 0.64017463  0.35982528]]
[[ 0.81461567  0.18538433]]
[[ 0.18751433  0.81248575]]
[[ 0.40205911  0.59794086]]
[[ 0.17152572  0.82847428]]
[[ 0.23455082  0.76544917]]
[[ 0.45398259  0.54601747]]
[[ 0.20674676  0.79325324]]
[[ 0.89820117  0.10179887]]
[[ 0.47323754  0.52676249]]
[[ 0.87308705  0.12691301]]
[[ 0.23742194  0.76257807]]
[[ 0.07855996  0.92144006]]
[[ 0.49619409  0.50380588]]
[[ 0.12855218  0.8714478 ]]
[[ 0.45958304  0.54041696]]
[[ 0.38947099  0.61052895]]
[[ 0.07796556  0.9220345 ]]
[[ 0.5966236   0.40337637]]
[[ 0.10075329  0.89924675]]
[[ 0.08064336  0.91935664]]
[[ 0.93452066  0.06547938]]
[[ 0.03804591  0.96195406]]
[[ 0.12090775  0.87909228]]
[[ 0.96530491  0.03469507]]
[[ 0.03747313  0.9625268 ]]
[[ 0.12215156  0.87784845]]
[[ 0.11526358  0.88473642]]
[[ 0.49494344  0.50505656]]
[[ 0.04803728  0.95196271]]
[[ 0.31994066  0.68005931]]
[[ 0.13150218  0.86849779]]
[[ 0.64176178  0.35823819]]
[[ 0.05543537  0.9445647 ]]
[[ 0.1424135   0.85758656]]
[[ 0.26677984  0.73322022]]
[[ 0.84298581  0.15701422]]
[[ 0.07292183  0.92707813]]
[[ 0.12738083  0.87261909]]
[[ 0.11870697  0.88129306]]
[[ 0.19130796  0.80869204]]
[[ 0.18545347  0.81454653]]
[[ 0.19569202  0.804308  ]]
[[ 0.08570597  0.914294  ]]
[[ 0.10098044  0.8990196 ]]
[[ 0.02359672  0.9764033 ]]
[[ 0.46146551  0.53853452]]
[[ 0.40597585  0.59402424]]
[[ 0.00877689  0.9912231 ]]
[[ 0.77382642  0.22617358]]
[[ 0.67303097  0.32696903]]
[[ 0.70365757  0.2963424 ]]
[[ 0.16366744  0.83633256]]
[[ 0.73862284  0.26137722]]
[[ 0.18635719  0.81364286]]
[[ 0.08703798  0.91296202]]
[[ 0.14424902  0.85575104]]
[[ 0.94372636  0.05627369]]
[[ 0.31107992  0.68892008]]
[[ 0.01979812  0.9802019 ]]
[[ 0.13245675  0.86754328]]
[[ 0.71150154  0.28849849]]
[[ 0.46369255  0.53630739]]
[[ 0.15053372  0.84946632]]
[[ 0.22211498  0.77788502]]
[[ 0.28195494  0.71804506]]
[[ 0.45474511  0.54525489]]
[[ 0.4693875   0.53061241]]
[[ 0.63687927  0.3631207 ]]
[[ 0.0432869   0.95671314]]
[[ 0.07714462  0.92285544]]
[[ 0.01940568  0.98059434]]
[[ 0.35274735  0.64725268]]
[[ 0.75323796  0.24676199]]
[[ 0.07855018  0.92144978]]
[[ 0.14904614  0.85095388]]
[[ 0.17466842  0.82533157]]
[[ 0.10467414  0.89532584]]
[[ 0.45048544  0.54951459]]
[[ 0.14786701  0.85213304]]
[[ 0.0884805   0.91151947]]
[[ 0.16781092  0.83218914]]
[[ 0.08800945  0.91199058]]
[[ 0.2582123   0.74178773]]
[[ 0.0836136   0.91638637]]
[[ 0.34771082  0.65228927]]
[[ 0.44932351  0.55067647]]
[[ 0.41537037  0.58462965]]
[[ 0.09212343  0.90787655]]
[[ 0.05365586  0.94634408]]
[[ 0.69675344  0.3032465 ]]
[[ 0.44385812  0.55614191]]
[[ 0.13268927  0.86731076]]
[[ 0.45558766  0.54441243]]
[[ 0.65617287  0.3438271 ]]
[[ 0.46908742  0.53091252]]
[[ 0.14066999  0.85933006]]
[[ 0.1789616   0.82103842]]
[[ 0.0180465  0.9819535]]
[[ 0.02007684  0.97992319]]
[[ 0.45082512  0.5491749 ]]
[[ 0.18485816  0.8151418 ]]
[[ 0.15788065  0.84211928]]
[[ 0.01848053  0.98151946]]
[[ 0.44781849  0.55218154]]
[[ 0.39303926  0.60696077]]
[[ 0.07915216  0.92084783]]
[[ 0.31292519  0.68707484]]
[[ 0.01287826  0.98712176]]
[[ 0.16728228  0.83271766]]
[[ 0.3216849  0.6783151]]
[[ 0.18009785  0.81990212]]
[[ 0.20252645  0.79747349]]
[[ 0.04063244  0.95936751]]
[[ 0.59933949  0.4006606 ]]
[[ 0.04742399  0.95257598]]
[[ 0.04234363  0.95765632]]
[[ 0.61029816  0.38970181]]
[[ 0.19103104  0.8089689 ]]
[[ 0.16212094  0.83787906]]
[[ 0.15169863  0.84830135]]
[[ 0.75161254  0.24838738]]
[[ 0.27742824  0.72257185]]
[[ 0.53156722  0.46843275]]
[[ 0.36682484  0.63317519]]
[[ 0.17529514  0.82470489]]
[[ 0.15382156  0.84617847]]
[[ 0.92166573  0.07833422]]
[[ 0.45450178  0.54549819]]
[[ 0.45803434  0.5419656 ]]
[[ 0.12675218  0.8732478 ]]
[[ 0.2412833   0.75871664]]
[[ 0.3001776   0.69982237]]
[[ 0.11050054  0.88949949]]
[[ 0.20185122  0.79814881]]
[[ 0.38248751  0.61751258]]
[[ 0.20754971  0.79245031]]
[[ 0.20461988  0.79538018]]
[[ 0.76202393  0.237976  ]]
[[ 0.14838547  0.85161448]]
[[ 0.06273684  0.93726313]]
[[ 0.19385819  0.80614185]]
[[ 0.08393308  0.91606694]]
[[ 0.09353659  0.90646338]]
[[ 0.45594496  0.54405499]]
[[ 0.08345003  0.91654998]]
[[ 0.55969244  0.44030759]]
[[ 0.20806754  0.79193246]]
[[ 0.10770949  0.89229053]]
[[ 0.16201584  0.83798409]]
[[ 0.05182446  0.94817561]]
[[ 0.13324873  0.86675131]]
[[ 0.19968987  0.80031019]]
[[ 0.15295702  0.84704298]]
[[ 0.20802273  0.79197735]]
[[ 0.12160517  0.87839478]]
[[ 0.72029924  0.27970079]]
[[ 0.21310775  0.78689224]]
[[ 0.32621872  0.67378128]]
[[ 0.10979233  0.89020765]]
[[ 0.21577413  0.78422582]]
[[ 0.45706743  0.54293257]]
[[ 0.88864416  0.11135582]]
[[ 0.71230084  0.28769916]]
[[ 0.281607    0.71839303]]
[[ 0.74093515  0.25906482]]
[[ 0.77129668  0.22870332]]
[[ 0.05259961  0.94740039]]
