[[ 0.76191992  0.2380801 ]]
[[ 0.12192968  0.87807035]]
[[ 0.20069258  0.79930741]]
[[ 0.62056279  0.37943718]]
[[ 0.15278725  0.84721279]]
[[ 0.77744651  0.22255349]]
[[ 0.72206128  0.27793878]]
[[ 0.61230099  0.38769907]]
[[ 0.0889106   0.91108942]]
[[ 0.72512913  0.27487084]]
[[ 0.75701326  0.24298671]]
[[ 0.3555184  0.6444816]]
[[ 0.73188531  0.26811472]]
[[ 0.09728042  0.90271956]]
[[ 0.6144827   0.38551733]]
[[ 0.62004632  0.37995371]]
[[ 0.87243098  0.12756905]]
[[ 0.65850496  0.34149501]]
[[ 0.31108722  0.68891281]]
[[ 0.6103636   0.38963637]]
[[ 0.1609441  0.8390559]]
[[ 0.60685074  0.39314932]]
[[ 0.09815582  0.90184414]]
[[ 0.12691228  0.87308776]]
[[ 0.61953264  0.38046736]]
[[ 0.21416537  0.78583455]]
[[ 0.61047077  0.38952926]]
[[ 0.61050957  0.38949037]]
[[ 0.62677628  0.37322375]]
[[ 0.61509061  0.38490936]]
[[ 0.62782091  0.37217903]]
[[ 0.60409153  0.3959085 ]]
[[ 0.1031462  0.8968538]]
[[ 0.09888475  0.90111524]]
[[ 0.09422744  0.90577257]]
[[ 0.10169739  0.89830267]]
[[ 0.12369214  0.8763079 ]]
[[ 0.09952766  0.9004724 ]]
[[ 0.59964979  0.40035012]]
[[ 0.03571673  0.96428329]]
[[ 0.06373969  0.93626034]]
[[ 0.09238273  0.90761727]]
[[ 0.12287543  0.87712455]]
[[ 0.60782099  0.39217901]]
[[ 0.60812259  0.39187741]]
[[ 0.60714591  0.39285406]]
[[ 0.60069215  0.39930788]]
[[ 0.09733351  0.90266651]]
[[ 0.60431737  0.3956826 ]]
[[ 0.66359407  0.33640599]]
[[ 0.61859399  0.38140598]]
[[ 0.6031816   0.39681837]]
[[ 0.6153087   0.38469136]]
[[ 0.60902995  0.39097008]]
[[ 0.61800671  0.38199329]]
[[ 0.28956652  0.71043348]]
[[ 0.7565316   0.24346834]]
[[ 0.61394006  0.38605991]]
[[ 0.62167937  0.37832069]]
[[ 0.61174655  0.38825345]]
[[ 0.60681051  0.39318952]]
[[ 0.60883898  0.39116102]]
[[ 0.61144942  0.38855052]]
[[ 0.62920344  0.37079656]]
[[ 0.60373437  0.39626563]]
[[ 0.61367005  0.38633001]]
[[ 0.09605059  0.90394938]]
[[ 0.63039976  0.36960024]]
[[ 0.59706014  0.4029398 ]]
[[ 0.60776138  0.39223868]]
[[ 0.59977841  0.40022162]]
[[ 0.6120649  0.3879351]]
[[ 0.60082954  0.39917043]]
[[ 0.10136615  0.8986339 ]]
[[ 0.61832708  0.38167292]]
[[ 0.0745877  0.9254123]]
[[ 0.61084986  0.38915011]]
[[ 0.60833281  0.39166713]]
[[ 0.60573322  0.39426681]]
[[ 0.08841266  0.91158736]]
[[ 0.62134069  0.37865931]]
[[ 0.60197681  0.39802319]]
[[ 0.08007383  0.91992617]]
[[ 0.07272785  0.92727214]]
[[ 0.57862687  0.42137313]]
[[ 0.59690851  0.40309149]]
[[ 0.6010074   0.39899254]]
[[ 0.6962449  0.3037551]]
[[ 0.59926635  0.40073371]]
[[ 0.61170155  0.38829848]]
[[ 0.39221755  0.60778248]]
[[ 0.59913427  0.4008657 ]]
[[ 0.08411523  0.91588479]]
[[ 0.5841614  0.4158386]]
[[ 0.57504183  0.4249582 ]]
[[ 0.63864547  0.36135459]]
[[ 0.60146999  0.39853004]]
[[ 0.60738176  0.39261821]]
[[ 0.06984065  0.93015939]]
[[ 0.59607393  0.4039261 ]]
[[ 0.57988989  0.42011017]]
[[ 0.61020672  0.38979328]]
[[ 0.60395187  0.39604816]]
[[ 0.03426282  0.96573722]]
[[ 0.61013126  0.38986871]]
[[ 0.61925101  0.38074905]]
[[ 0.25823253  0.74176747]]
[[ 0.60656035  0.39343962]]
[[ 0.60257214  0.39742783]]
[[ 0.06910647  0.93089348]]
[[ 0.6119805   0.38801953]]
[[ 0.58258009  0.41741994]]
[[ 0.62100965  0.37899032]]
[[ 0.68269432  0.31730562]]
[[ 0.61030352  0.38969645]]
[[ 0.60111886  0.39888114]]
[[ 0.58946174  0.4105382 ]]
[[ 0.69291139  0.30708855]]
[[ 0.60906416  0.39093578]]
[[ 0.60545778  0.39454225]]
[[ 0.24347052  0.75652951]]
[[ 0.58891726  0.41108277]]
[[ 0.60155982  0.39844018]]
[[ 0.59683019  0.40316981]]
[[ 0.11613211  0.88386786]]
[[ 0.58998811  0.41001189]]
[[ 0.59237504  0.40762499]]
[[ 0.5903697  0.4096303]]
[[ 0.0750125   0.92498749]]
[[ 0.60730314  0.3926968 ]]
[[ 0.58501929  0.41498068]]
[[ 0.60101157  0.39898846]]
[[ 0.59589154  0.40410846]]
[[ 0.60895795  0.39104202]]
[[ 0.58402628  0.41597369]]
[[ 0.07296888  0.9270311 ]]
[[ 0.06120618  0.93879378]]
[[ 0.60461611  0.39538392]]
[[ 0.59220719  0.40779278]]
[[ 0.40597692  0.59402305]]
[[ 0.60603458  0.39396548]]
[[ 0.59910309  0.40089688]]
[[ 0.5987246   0.40127543]]
[[ 0.61478454  0.38521555]]
[[ 0.59837693  0.4016231 ]]
[[ 0.09572852  0.90427148]]
[[ 0.62458235  0.37541762]]
[[ 0.12027325  0.87972677]]
[[ 0.61976057  0.38023949]]
[[ 0.61832285  0.38167712]]
[[ 0.63678211  0.36321798]]
[[ 0.64780599  0.35219407]]
[[ 0.61641937  0.38358071]]
[[ 0.61102909  0.38897094]]
[[ 0.61929715  0.38070279]]
[[ 0.21568006  0.78432   ]]
[[ 0.0853756   0.91462433]]
[[ 0.6140635  0.3859365]]
[[ 0.54735488  0.45264503]]
[[ 0.62355387  0.37644613]]
[[ 0.6189      0.38109994]]
[[ 0.07789253  0.92210746]]
[[ 0.60451639  0.39548361]]
[[ 0.09443291  0.90556717]]
[[ 0.57745773  0.42254233]]
[[ 0.60714823  0.39285177]]
[[ 0.61677068  0.38322932]]
[[ 0.61231893  0.38768101]]
[[ 0.5887652   0.41123477]]
[[ 0.60575932  0.39424068]]
[[ 0.58744186  0.41255814]]
[[ 0.62136745  0.37863255]]
[[ 0.58346295  0.41653708]]
[[ 0.59809482  0.40190518]]
[[ 0.6131776  0.3868224]]
[[ 0.6150499  0.3849501]]
[[ 0.12377356  0.87622643]]
[[ 0.61692899  0.38307098]]
[[ 0.62377012  0.37622985]]
[[ 0.62403578  0.37596419]]
[[ 0.59592122  0.40407872]]
[[ 0.61095643  0.38904354]]
[[ 0.61229539  0.38770458]]
[[ 0.62234241  0.37765756]]
[[ 0.61175817  0.38824177]]
[[ 0.82611972  0.17388025]]
[[ 0.60573792  0.39426205]]
[[ 0.60261142  0.39738852]]
[[ 0.59873903  0.40126097]]
[[ 0.60071486  0.39928508]]
[[ 0.6010862  0.3989138]]
[[ 0.08311021  0.91688979]]
[[ 0.59590453  0.40409547]]
[[ 0.60278267  0.39721733]]
[[ 0.08910561  0.91089439]]
[[ 0.59597337  0.40402666]]
[[ 0.60937077  0.39062917]]
[[ 0.9218592  0.0781408]]
[[ 0.5978893   0.40211067]]
[[ 0.59160328  0.40839669]]
[[ 0.5972864   0.40271357]]
[[ 0.60529917  0.39470086]]
[[ 0.60922563  0.3907744 ]]
[[ 0.08772729  0.91227263]]
[[ 0.59111559  0.40888435]]
[[ 0.48266679  0.51733315]]
[[ 0.15588601  0.84411395]]
[[ 0.49626878  0.50373119]]
[[ 0.08849128  0.91150868]]
[[ 0.22494842  0.77505159]]
[[ 0.06610381  0.93389624]]
[[ 0.24761884  0.75238121]]
[[ 0.08418395  0.91581607]]
[[ 0.08383668  0.91616338]]
[[ 0.0863151  0.9136849]]
[[ 0.43343419  0.56656581]]
[[ 0.09560846  0.90439159]]
[[ 0.23017585  0.76982415]]
[[ 0.0522428   0.94775712]]
[[ 0.08537538  0.91462463]]
[[ 0.77574235  0.22425759]]
[[ 0.09914427  0.90085572]]
[[ 0.06806952  0.93193048]]
[[ 0.10811266  0.89188737]]
[[ 0.12643912  0.87356091]]
[[ 0.15964156  0.84035838]]
