[[ 0.07867277  0.92132723]]
[[ 0.03391275  0.96608722]]
[[ 0.03472389  0.96527618]]
[[ 0.16573763  0.83426237]]
[[ 0.32688463  0.67311537]]
[[ 0.12402802  0.87597197]]
[[ 0.93249381  0.06750617]]
[[ 0.25499633  0.7450037 ]]
[[ 0.0931491   0.90685087]]
[[ 0.12361013  0.8763898 ]]
[[ 0.24019413  0.75980586]]
[[ 0.0533113   0.94668877]]
[[ 0.08805257  0.91194749]]
[[ 0.51713336  0.4828667 ]]
[[ 0.6011911  0.3988089]]
[[ 0.66889828  0.33110166]]
[[ 0.24885501  0.75114501]]
[[ 0.07429628  0.92570376]]
[[ 0.39486527  0.60513473]]
[[ 0.03808037  0.96191967]]
[[ 0.08514787  0.9148522 ]]
[[ 0.00925623  0.99074382]]
[[ 0.15013176  0.84986818]]
[[ 0.50217283  0.4978272 ]]
[[ 0.19701238  0.80298764]]
[[ 0.08201416  0.91798586]]
[[ 0.10642011  0.8935799 ]]
[[ 0.30338424  0.69661576]]
[[ 0.03052317  0.96947688]]
[[ 0.15575044  0.84424955]]
[[ 0.2115014   0.78849858]]
[[ 0.50708091  0.49291903]]
[[ 0.06258343  0.93741655]]
[[ 0.55445629  0.44554368]]
[[ 0.74943238  0.25056759]]
[[ 0.16835043  0.83164954]]
[[ 0.12882538  0.87117457]]
[[ 0.10851002  0.89148998]]
[[ 0.22398506  0.77601492]]
[[ 0.98600554  0.01399442]]
[[ 0.16732624  0.83267379]]
[[ 0.23014985  0.76985019]]
[[ 0.17081812  0.82918191]]
[[ 0.9403339   0.05966611]]
[[ 0.07256807  0.92743194]]
[[ 0.08480348  0.91519654]]
[[ 0.59722161  0.40277845]]
[[ 0.09514458  0.90485543]]
[[ 0.33983982  0.66016018]]
[[ 0.06322151  0.93677849]]
[[ 0.08585834  0.91414165]]
[[ 0.15255667  0.84744334]]
[[ 0.03449483  0.96550512]]
[[ 0.02978125  0.97021872]]
[[ 0.11239041  0.88760954]]
[[ 0.12374513  0.87625492]]
[[ 0.08096038  0.91903967]]
[[ 0.23938118  0.76061881]]
[[ 0.62084413  0.37915587]]
[[ 0.86966848  0.13033155]]
