[[ 0.21946155  0.7805385 ]]
[[ 0.93902111  0.06097892]]
[[ 0.51436585  0.48563415]]
[[ 0.03755882  0.96244115]]
[[ 0.42115623  0.57884383]]
[[ 0.33050981  0.66949016]]
[[ 0.12478634  0.87521368]]
[[ 0.10516211  0.89483792]]
[[ 0.37901074  0.6209892 ]]
[[ 0.18689275  0.81310725]]
[[ 0.09158482  0.90841514]]
[[ 0.14106126  0.85893875]]
[[ 0.24392121  0.75607878]]
[[ 0.07196093  0.92803901]]
[[ 0.57957298  0.42042705]]
[[ 0.05489755  0.94510239]]
[[ 0.49596652  0.50403351]]
[[ 0.04694065  0.95305932]]
[[ 0.20497385  0.79502618]]
[[ 0.84795237  0.15204762]]
[[ 0.06482161  0.9351784 ]]
[[ 0.59878612  0.40121391]]
[[ 0.15058264  0.84941739]]
[[ 0.33266068  0.66733938]]
[[ 0.18835366  0.8116464 ]]
[[ 0.49304929  0.50695068]]
[[ 0.14905673  0.85094327]]
[[ 0.50154364  0.49845633]]
[[ 0.06299622  0.93700379]]
[[ 0.07815615  0.92184389]]
[[ 0.68306434  0.31693563]]
[[ 0.52176249  0.47823754]]
[[ 0.35579163  0.64420837]]
[[ 0.55365264  0.44634733]]
[[ 0.46692666  0.53307331]]
[[ 0.5569216   0.44307843]]
[[ 0.1455629   0.85443711]]
[[ 0.05498063  0.94501936]]
[[ 0.16446763  0.83553237]]
[[ 0.39021701  0.60978293]]
[[ 0.49187669  0.50812328]]
[[ 0.70065951  0.29934052]]
[[ 0.43501845  0.56498158]]
[[ 0.02880796  0.971192  ]]
[[ 0.12603603  0.87396401]]
[[ 0.99027401  0.00972599]]
[[ 0.00996116  0.99003881]]
[[ 0.85656524  0.14343473]]
[[ 0.04843299  0.95156693]]
[[ 0.01511965  0.98488033]]
[[ 0.19778985  0.80221015]]
[[ 0.01144631  0.98855376]]
[[ 0.10998096  0.89001912]]
[[ 0.52191967  0.47808036]]
[[ 0.12957343  0.87042654]]
[[ 0.04733803  0.95266199]]
[[ 0.74752557  0.25247443]]
[[ 0.38089293  0.61910707]]
[[ 0.04847234  0.95152766]]
[[ 0.04300107  0.95699894]]
[[ 0.14996064  0.8500393 ]]
[[ 0.14465497  0.85534501]]
[[ 0.02482841  0.97517157]]
[[ 0.51453143  0.4854686 ]]
[[ 0.05713163  0.94286841]]
[[ 0.51618016  0.4838199 ]]
[[ 0.02098684  0.9790132 ]]
[[ 0.05703079  0.9429692 ]]
[[ 0.24265504  0.75734496]]
[[ 0.33966184  0.6603381 ]]
[[ 0.10996538  0.89003456]]
[[ 0.11340318  0.88659674]]
[[ 0.16842832  0.83157164]]
[[ 0.52234846  0.4776516 ]]
[[ 0.80853117  0.19146878]]
[[ 0.38449234  0.61550766]]
[[ 0.41825137  0.5817486 ]]
[[ 0.09465379  0.90534616]]
[[ 0.08219234  0.9178077 ]]
[[ 0.18033867  0.81966132]]
[[ 0.14864863  0.85135138]]
[[ 0.93993282  0.06006716]]
[[ 0.09204888  0.90795118]]
[[ 0.05823586  0.94176418]]
[[ 0.49563763  0.50436234]]
[[ 0.2558997   0.74410039]]
[[ 0.11445712  0.88554293]]
[[ 0.11641252  0.88358748]]
[[ 0.08506596  0.91493398]]
[[ 0.25229537  0.74770463]]
[[ 0.47231191  0.52768809]]
[[ 0.31691283  0.68308723]]
[[ 0.29043052  0.70956945]]
[[ 0.12077272  0.87922728]]
[[ 0.53752023  0.4624798 ]]
[[ 0.80777478  0.1922252 ]]
[[ 0.1657383   0.83426166]]
[[ 0.01461216  0.98538786]]
[[ 0.66747755  0.33252251]]
[[ 0.14182279  0.85817724]]
[[ 0.31566566  0.68433434]]
[[ 0.03996355  0.9600364 ]]
[[ 0.09408528  0.90591472]]
[[ 0.34230337  0.6576966 ]]
[[ 0.16377987  0.8362202 ]]
