[[ 0.41623607  0.58376402]]
[[ 0.76009369  0.23990639]]
[[ 0.10469998  0.89529997]]
[[ 0.05104695  0.94895303]]
[[ 0.09088268  0.90911728]]
[[ 0.45422959  0.54577041]]
[[ 0.0681802  0.9318198]]
[[ 0.11875977  0.88124025]]
[[ 0.01739936  0.98260063]]
[[ 0.86442584  0.13557416]]
[[ 0.06127269  0.93872732]]
[[ 0.58867288  0.41132712]]
[[ 0.91422939  0.08577061]]
[[ 0.32675645  0.67324358]]
[[ 0.71697479  0.28302521]]
[[ 0.15858635  0.84141368]]
[[ 0.18627095  0.81372905]]
[[ 0.12600979  0.87399024]]
[[ 0.13319358  0.86680639]]
[[ 0.55005598  0.44994399]]
[[ 0.21084742  0.78915256]]
[[ 0.13443489  0.86556512]]
[[ 0.2037528   0.79624724]]
[[ 0.11679799  0.88320196]]
[[ 0.57868087  0.42131916]]
[[ 0.0812116   0.91878843]]
[[ 0.11782408  0.88217592]]
[[ 0.66476452  0.33523551]]
[[ 0.23847345  0.76152658]]
[[ 0.22256069  0.77743936]]
[[ 0.83856058  0.16143939]]
[[ 0.06866523  0.93133479]]
[[ 0.45643714  0.54356283]]
[[ 0.03998764  0.96001232]]
[[ 0.11484969  0.88515037]]
[[ 0.10655508  0.8934449 ]]
[[ 0.06300586  0.93699419]]
[[ 0.70427269  0.29572734]]
[[ 0.08333322  0.91666675]]
[[ 0.07331878  0.92668116]]
[[ 0.06959095  0.93040907]]
[[ 0.18726541  0.81273454]]
[[ 0.39630646  0.60369354]]
[[ 0.0253637   0.97463632]]
[[ 0.19334239  0.80665755]]
[[ 0.08460638  0.91539353]]
[[ 0.27962169  0.72037828]]
[[ 0.08846939  0.91153055]]
[[ 0.10209138  0.89790863]]
[[ 0.02688066  0.97311938]]
[[ 0.19173412  0.80826592]]
[[ 0.148394    0.85160601]]
[[ 0.14093037  0.85906965]]
[[ 0.17716461  0.82283533]]
[[ 0.29540288  0.70459712]]
[[ 0.04844065  0.95155931]]
[[ 0.06177208  0.93822795]]
[[ 0.1088267  0.8911733]]
[[ 0.08020667  0.91979331]]
[[ 0.04420926  0.9557907 ]]
[[ 0.44445774  0.55554223]]
[[ 0.80053127  0.19946873]]
[[ 0.06828877  0.93171126]]
[[ 0.76662225  0.23337778]]
[[ 0.02247234  0.97752768]]
[[ 0.62990957  0.3700904 ]]
[[ 0.89521176  0.10478824]]
[[ 0.04966049  0.9503395 ]]
[[ 0.13053618  0.86946386]]
[[ 0.92034096  0.07965904]]
[[ 0.13524389  0.86475611]]
[[ 0.3052921   0.69470787]]
[[ 0.02967251  0.97032744]]
[[ 0.06347834  0.93652165]]
[[ 0.20504613  0.79495388]]
[[ 0.33244705  0.66755295]]
[[ 0.27716103  0.722839  ]]
[[ 0.07318238  0.92681766]]
[[ 0.31510487  0.68489516]]
[[ 0.44629017  0.55370981]]
[[ 0.13018155  0.86981845]]
[[ 0.05895658  0.94104344]]
[[ 0.26133761  0.73866242]]
[[ 0.96114397  0.03885604]]
[[ 0.92674303  0.07325696]]
[[ 0.32270253  0.67729747]]
[[ 0.21819827  0.78180176]]
[[ 0.0193721   0.98062789]]
[[ 0.53475469  0.46524531]]
[[ 0.69415057  0.30584952]]
[[ 0.19966137  0.80033869]]
[[ 0.10839783  0.89160222]]
[[ 0.03003098  0.96996897]]
[[ 0.1557207   0.84427929]]
[[ 0.31914291  0.680857  ]]
[[ 0.22732714  0.77267289]]
[[ 0.76030123  0.23969877]]
[[ 0.46012211  0.53987789]]
[[ 0.64394814  0.35605186]]
[[ 0.16667636  0.8333236 ]]
[[ 0.00673087  0.99326915]]
[[ 0.14214058  0.85785937]]
[[ 0.80388814  0.19611192]]
[[ 0.11854868  0.88145131]]
[[ 0.07915143  0.92084855]]
[[ 0.4669821   0.53301799]]
[[ 0.18441232  0.8155877 ]]
[[ 0.10909039  0.89090961]]
[[ 0.84815079  0.1518492 ]]
[[ 0.37047124  0.62952876]]
[[ 0.07293267  0.92706734]]
[[ 0.15036567  0.84963435]]
[[ 0.34262782  0.65737218]]
[[ 0.02438596  0.97561407]]
[[ 0.71221077  0.28778923]]
[[ 0.48860607  0.5113939 ]]
[[ 0.16629727  0.83370268]]
[[ 0.09284189  0.90715808]]
[[ 0.12189137  0.87810868]]
[[ 0.07111993  0.92888004]]
[[ 0.72896183  0.27103814]]
[[ 0.06607004  0.93392992]]
[[ 0.21581686  0.78418314]]
[[ 0.56883383  0.43116617]]
[[ 0.17272033  0.82727963]]
[[ 0.45398259  0.54601747]]
[[ 0.30078399  0.69921601]]
[[ 0.66251934  0.33748069]]
[[ 0.08872159  0.91127849]]
[[ 0.18907097  0.810929  ]]
[[ 0.06846259  0.93153739]]
[[ 0.73519027  0.2648097 ]]
[[ 0.31415847  0.6858415 ]]
[[ 0.06001702  0.93998295]]
[[ 0.24535321  0.75464678]]
[[ 0.62025779  0.37974221]]
[[ 0.08781473  0.91218525]]
[[ 0.47323754  0.52676249]]
[[ 0.87006533  0.12993464]]
[[ 0.65229046  0.34770951]]
[[ 0.45958304  0.54041696]]
[[ 0.97810841  0.02189161]]
[[ 0.2109119   0.78908813]]
[[ 0.16459507  0.83540487]]
[[ 0.05987545  0.94012451]]
[[ 0.0966302   0.90336978]]
[[ 0.05791988  0.94208008]]
[[ 0.93554819  0.06445184]]
[[ 0.32116607  0.6788339 ]]
[[ 0.13320924  0.86679077]]
[[ 0.12239859  0.87760139]]
[[ 0.59061468  0.40938532]]
[[ 0.17986618  0.82013381]]
[[ 0.12107424  0.87892574]]
[[ 0.10548626  0.89451379]]
[[ 0.08598702  0.91401297]]
