[[ 0.02977104  0.97022891]]
[[ 0.03027677  0.96972322]]
[[ 0.12598163  0.87401837]]
[[ 0.02783575  0.97216427]]
[[ 0.05226925  0.94773072]]
[[ 0.34384191  0.65615803]]
[[ 0.0290288   0.97097123]]
[[ 0.14494534  0.85505468]]
[[ 0.02837911  0.97162086]]
[[ 0.01412437  0.98587567]]
[[ 0.03442729  0.96557271]]
[[ 0.11455743  0.8854425 ]]
[[ 0.03909934  0.96090066]]
[[ 0.10610422  0.8938958 ]]
[[ 0.03136956  0.96863043]]
[[ 0.04524465  0.95475531]]
[[ 0.14433405  0.85566592]]
[[ 0.10667673  0.89332324]]
[[ 0.02428179  0.97571826]]
[[ 0.04188861  0.95811135]]
[[ 0.02963136  0.97036862]]
[[ 0.26194483  0.73805517]]
[[ 0.02804356  0.97195643]]
[[ 0.0427953  0.9572047]]
[[ 0.03535917  0.9646408 ]]
[[ 0.04243496  0.95756507]]
[[ 0.03974553  0.96025443]]
[[ 0.21474941  0.78525066]]
[[ 0.03867192  0.96132803]]
[[ 0.07542846  0.92457151]]
[[ 0.07995955  0.92004049]]
[[ 0.03207088  0.96792912]]
[[ 0.03033591  0.96966416]]
[[ 0.03298923  0.9670108 ]]
[[ 0.16463548  0.83536446]]
[[ 0.02837144  0.97162861]]
[[ 0.02924069  0.97075933]]
[[ 0.13930795  0.86069208]]
[[ 0.02803299  0.97196704]]
[[ 0.03193869  0.96806127]]
[[ 0.39892003  0.60108   ]]
[[ 0.16795331  0.83204669]]
[[ 0.13575532  0.8642447 ]]
[[ 0.21986091  0.78013909]]
[[ 0.14417139  0.85582864]]
[[ 0.02694388  0.97305614]]
[[ 0.03166005  0.96833998]]
[[ 0.1792715   0.82072854]]
[[ 0.02851817  0.97148186]]
[[ 0.03155052  0.96844953]]
[[ 0.03020129  0.96979874]]
[[ 0.03053443  0.96946555]]
[[ 0.04243957  0.95756048]]
[[ 0.02617439  0.97382563]]
[[ 0.02689359  0.97310638]]
[[ 0.84126002  0.15874001]]
[[ 0.1157308   0.88426918]]
[[ 0.14281374  0.85718626]]
[[ 0.02937006  0.97062993]]
[[ 0.13843343  0.8615666 ]]
[[ 0.04294533  0.95705467]]
[[ 0.15012527  0.84987473]]
[[ 0.02933607  0.97066396]]
[[ 0.06511799  0.93488199]]
[[ 0.03037097  0.96962905]]
[[ 0.80056411  0.19943586]]
[[ 0.02676319  0.97323674]]
[[ 0.02949714  0.97050291]]
[[ 0.12456038  0.87543964]]
[[ 0.03035824  0.96964169]]
[[ 0.12428136  0.87571865]]
[[ 0.12567914  0.87432092]]
[[ 0.02947437  0.97052562]]
[[ 0.02820957  0.97179043]]
[[ 0.03263524  0.96736479]]
[[ 0.14124092  0.85875911]]
[[ 0.09061499  0.90938509]]
[[ 0.10763262  0.8923673 ]]
[[ 0.05931132  0.94068867]]
[[ 0.25265884  0.7473411 ]]
[[ 0.0226943   0.97730571]]
[[ 0.52429986  0.47570017]]
[[ 0.02848672  0.97151327]]
[[ 0.14018577  0.85981423]]
[[ 0.03266688  0.96733308]]
[[ 0.02467121  0.9753288 ]]
[[ 0.03129422  0.96870571]]
[[ 0.42561486  0.57438511]]
[[ 0.16533695  0.83466303]]
[[ 0.0274714   0.97252864]]
[[ 0.0377554   0.96224463]]
[[ 0.03077287  0.96922708]]
[[ 0.69296527  0.30703476]]
[[ 0.02806714  0.97193289]]
[[ 0.36699444  0.63300556]]
[[ 0.17329966  0.82670039]]
[[ 0.13343859  0.86656141]]
[[ 0.1376901   0.86230993]]
[[ 0.69310147  0.3068985 ]]
[[ 0.02781906  0.9721809 ]]
[[ 0.02871201  0.97128797]]
[[ 0.12026657  0.87973338]]
[[ 0.25101706  0.74898291]]
[[ 0.02889566  0.97110432]]
[[ 0.04467673  0.95532334]]
[[ 0.02843653  0.97156346]]
[[ 0.05191938  0.94808066]]
[[ 0.02821731  0.97178268]]
[[ 0.03129968  0.96870035]]
[[ 0.74152142  0.25847861]]
[[ 0.03054484  0.96945512]]
[[ 0.04555948  0.95444047]]
[[ 0.02857703  0.97142291]]
[[ 0.02817365  0.97182637]]
[[ 0.03060094  0.96939909]]
[[ 0.12721965  0.87278038]]
[[ 0.11996284  0.88003713]]
[[ 0.02949919  0.97050077]]
[[ 0.02876167  0.97123837]]
[[ 0.04234293  0.9576571 ]]
[[ 0.0240995   0.97590047]]
[[ 0.04465295  0.955347  ]]
[[ 0.02345712  0.97654289]]
[[ 0.02505132  0.9749487 ]]
[[ 0.13409835  0.86590171]]
[[ 0.12037095  0.87962908]]
[[ 0.12012329  0.87987667]]
[[ 0.04480065  0.9551993 ]]
[[ 0.02187074  0.97812927]]
[[ 0.85977691  0.14022312]]
[[ 0.05483196  0.94516802]]
[[ 0.15616709  0.84383291]]
[[ 0.02864733  0.97135264]]
[[ 0.01657542  0.9834246 ]]
[[ 0.12222224  0.87777776]]
[[ 0.02744886  0.97255117]]
[[ 0.12900855  0.87099153]]
[[ 0.01975421  0.98024577]]
[[ 0.1262439   0.87375611]]
[[ 0.02483271  0.97516721]]
[[ 0.08985261  0.91014737]]
[[ 0.14436331  0.85563666]]
[[ 0.02648197  0.97351801]]
[[ 0.03701401  0.96298605]]
[[ 0.02822494  0.97177505]]
[[ 0.02704161  0.97295839]]
[[ 0.12298726  0.87701279]]
[[ 0.12224995  0.87775004]]
[[ 0.02820498  0.97179496]]
[[ 0.86520654  0.13479346]]
[[ 0.16188586  0.83811414]]
[[ 0.02833662  0.97166336]]
[[ 0.03123785  0.9687621 ]]
[[ 0.02360481  0.97639525]]
[[ 0.11268895  0.8873111 ]]
[[ 0.02752677  0.97247326]]
[[ 0.02737419  0.97262585]]
[[ 0.03152773  0.9684723 ]]
[[ 0.02788215  0.97211784]]
[[ 0.11681869  0.88318133]]
[[ 0.9015488   0.09845118]]
[[ 0.33074507  0.66925496]]
[[ 0.02897729  0.97102273]]
[[ 0.13991567  0.86008435]]
[[ 0.33116531  0.66883469]]
[[ 0.04533605  0.95466393]]
[[ 0.22191805  0.77808195]]
[[ 0.03530259  0.96469736]]
[[ 0.02663177  0.97336823]]
[[ 0.02941582  0.97058421]]
[[ 0.0432053   0.95679474]]
[[ 0.12448131  0.87551868]]
[[ 0.02851648  0.97148353]]
[[ 0.08791388  0.91208607]]
[[ 0.10156599  0.89843398]]
[[ 0.11658689  0.88341308]]
[[ 0.12259301  0.87740695]]
[[ 0.14839558  0.8516044 ]]
[[ 0.03088186  0.96911812]]
[[ 0.02761297  0.97238702]]
[[ 0.12193926  0.87806076]]
[[ 0.51648819  0.48351181]]
[[ 0.02879176  0.97120821]]
[[ 0.0267487   0.97325134]]
[[ 0.11908032  0.88091969]]
[[ 0.84007621  0.15992381]]
[[ 0.12404057  0.87595946]]
[[ 0.03187725  0.96812272]]
[[ 0.72241002  0.27758992]]
[[ 0.02822206  0.97177798]]
[[ 0.84157741  0.15842262]]
[[ 0.10749781  0.89250225]]
[[ 0.68496346  0.31503654]]
[[ 0.03278553  0.96721441]]
[[ 0.10918849  0.8908115 ]]
[[ 0.85117543  0.14882459]]
[[ 0.06636819  0.93363178]]
[[ 0.03087293  0.96912706]]
[[ 0.03157671  0.96842325]]
[[ 0.03163327  0.9683668 ]]
[[ 0.03392521  0.96607476]]
[[ 0.15459096  0.84540898]]
[[ 0.04499522  0.95500475]]
[[ 0.02960822  0.97039175]]
[[ 0.63698989  0.36301005]]
