[[ 0.10858563  0.8914144 ]]
[[ 0.15987609  0.84012395]]
[[ 0.12836784  0.87163216]]
[[ 0.86045527  0.13954465]]
[[ 0.13544135  0.86455858]]
[[ 0.17449868  0.82550132]]
[[ 0.91149431  0.0885057 ]]
[[ 0.06080215  0.93919784]]
[[ 0.20838428  0.79161572]]
[[ 0.04939027  0.95060974]]
[[ 0.21282858  0.78717142]]
[[ 0.13151722  0.86848277]]
[[ 0.08719333  0.91280675]]
[[ 0.11297672  0.88702333]]
[[ 0.07691864  0.92308134]]
[[ 0.10699967  0.89300036]]
[[ 0.30560321  0.69439679]]
[[ 0.46339044  0.53660959]]
[[ 0.14417139  0.85582864]]
[[ 0.25265884  0.7473411 ]]
[[ 0.45436251  0.54563749]]
[[ 0.53449547  0.46550456]]
[[ 0.05874557  0.94125444]]
[[ 0.11196648  0.88803351]]
[[ 0.07266559  0.92733443]]
[[ 0.48615164  0.51384836]]
[[ 0.10872108  0.89127886]]
[[ 0.09214872  0.90785134]]
[[ 0.1152611   0.88473892]]
[[ 0.47836688  0.52163309]]
[[ 0.08494743  0.91505253]]
[[ 0.10518382  0.89481616]]
[[ 0.43056887  0.56943113]]
[[ 0.14419705  0.85580295]]
[[ 0.02817623  0.97182381]]
[[ 0.49524188  0.50475818]]
[[ 0.07138115  0.92861885]]
[[ 0.26123333  0.73876661]]
[[ 0.05985203  0.94014794]]
[[ 0.08084245  0.91915756]]
[[ 0.12127629  0.87872374]]
[[ 0.08179729  0.9182027 ]]
[[ 0.27175176  0.72824818]]
[[ 0.06882469  0.93117529]]
[[ 0.11429596  0.8857041 ]]
[[ 0.05411034  0.94588965]]
[[ 0.11182348  0.88817656]]
[[ 0.10739722  0.8926028 ]]
[[ 0.11498339  0.88501662]]
[[ 0.4801878   0.51981217]]
[[ 0.2945348  0.7054652]]
[[ 0.12422068  0.87577927]]
[[ 0.14082922  0.85917073]]
[[ 0.16706641  0.83293366]]
[[ 0.2194365   0.78056347]]
[[ 0.06604374  0.93395621]]
[[ 0.10960247  0.89039755]]
[[ 0.21491873  0.78508127]]
[[ 0.11533539  0.8846646 ]]
[[ 0.36598253  0.63401741]]
[[ 0.11504272  0.88495725]]
[[ 0.10537226  0.89462781]]
[[ 0.10433986  0.89566016]]
[[ 0.17477112  0.82522893]]
[[ 0.1518575  0.8481425]]
[[ 0.36604702  0.63395292]]
[[ 0.06410522  0.93589473]]
[[ 0.13372061  0.86627942]]
[[ 0.04630002  0.95370001]]
[[ 0.50574201  0.49425802]]
[[ 0.10688704  0.89311296]]
