[[ 0.0190089   0.98099113]]
[[ 0.13770913  0.86229086]]
[[ 0.38426146  0.61573845]]
[[ 0.11343428  0.88656574]]
[[ 0.01944134  0.98055869]]
[[ 0.07518966  0.92481035]]
[[ 0.75838292  0.24161707]]
[[ 0.04062036  0.95937961]]
[[ 0.40893531  0.59106469]]
[[ 0.20721394  0.79278606]]
[[ 0.11437643  0.88562357]]
[[ 0.14442874  0.85557121]]
[[ 0.04473115  0.9552688 ]]
[[ 0.48932517  0.51067489]]
[[ 0.32793039  0.67206961]]
[[ 0.62750494  0.37249503]]
[[ 0.08898995  0.91101009]]
[[ 0.09941201  0.90058798]]
[[ 0.31755343  0.6824466 ]]
[[ 0.12713599  0.87286401]]
[[ 0.55074424  0.44925576]]
[[ 0.04357478  0.95642525]]
[[ 0.12320147  0.87679857]]
[[ 0.10454129  0.8954587 ]]
[[ 0.10820241  0.89179754]]
[[ 0.17706265  0.82293737]]
[[ 0.20607162  0.79392844]]
[[ 0.19699216  0.80300778]]
[[ 0.10817586  0.89182407]]
[[ 0.10076074  0.89923924]]
[[ 0.11377709  0.88622284]]
[[ 0.09526658  0.90473342]]
[[ 0.49491927  0.5050807 ]]
[[ 0.05007962  0.94992036]]
[[ 0.01609571  0.98390436]]
[[ 0.46411112  0.53588891]]
[[ 0.58982259  0.41017735]]
[[ 0.21467505  0.78532487]]
[[ 0.10120433  0.89879566]]
[[ 0.00873469  0.99126524]]
[[ 0.15923263  0.84076732]]
[[ 0.03175419  0.96824586]]
[[ 0.01814882  0.98185122]]
[[ 0.2508707  0.7491293]]
[[ 0.35855278  0.64144719]]
[[ 0.10787642  0.89212364]]
[[ 0.47605142  0.52394861]]
[[ 0.04908948  0.95091051]]
[[ 0.07126633  0.92873371]]
[[ 0.21109837  0.78890163]]
[[ 0.2264794   0.77352059]]
[[ 0.62953711  0.37046286]]
[[ 0.91820127  0.08179868]]
[[ 0.03252994  0.96747011]]
[[ 0.10626107  0.89373899]]
[[ 0.04408742  0.95591259]]
[[ 0.30728042  0.69271964]]
[[ 0.12820709  0.87179297]]
[[ 0.10061819  0.89938182]]
[[ 0.81017339  0.18982659]]
[[ 0.0478448   0.95215517]]
[[ 0.0906923   0.90930766]]
[[ 0.05198652  0.94801348]]
[[ 0.23307131  0.76692873]]
[[ 0.14537871  0.85462129]]
[[ 0.93112659  0.06887338]]
[[ 0.61139637  0.38860366]]
[[ 0.2331154   0.76688462]]
[[ 0.04291496  0.95708501]]
[[ 0.08297169  0.91702831]]
[[ 0.24941473  0.7505852 ]]
[[ 0.10784797  0.89215207]]
[[ 0.14055642  0.8594436 ]]
[[ 0.62399948  0.37600049]]
[[ 0.10784728  0.89215273]]
[[ 0.35108307  0.6489169 ]]
[[ 0.16988146  0.83011848]]
[[ 0.02377756  0.9762224 ]]
[[ 0.14650002  0.85349995]]
[[ 0.09638239  0.90361768]]
[[ 0.07176918  0.92823088]]
[[ 0.44468415  0.55531585]]
[[ 0.04652404  0.95347595]]
[[ 0.01839922  0.98160076]]
[[ 0.12271916  0.87728089]]
[[ 0.14037672  0.85962325]]
[[ 0.06469561  0.93530434]]
[[ 0.14426932  0.85573065]]
[[ 0.94383454  0.05616549]]
[[ 0.16245823  0.83754176]]
[[ 0.20378129  0.79621869]]
[[ 0.04580231  0.9541977 ]]
[[ 0.60254866  0.39745128]]
[[ 0.15762949  0.84237051]]
[[ 0.50160003  0.49839994]]
[[ 0.63233155  0.36766839]]
[[ 0.0454414   0.95455867]]
[[ 0.05679074  0.94320929]]
[[ 0.22508846  0.77491152]]
[[ 0.07995173  0.92004824]]
[[ 0.50348747  0.49651256]]
[[ 0.58990794  0.41009206]]
[[ 0.10920081  0.89079922]]
[[ 0.04793344  0.95206654]]
[[ 0.61643136  0.38356864]]
[[ 0.09064645  0.90935349]]
[[ 0.1067002   0.89329982]]
[[ 0.0743508   0.92564923]]
[[ 0.10341524  0.89658469]]
[[ 0.19374524  0.80625474]]
[[ 0.04145624  0.95854372]]
[[ 0.65120071  0.34879929]]
