[[ 0.2248811   0.77511889]]
[[ 0.24063234  0.7593677 ]]
[[ 0.04054078  0.95945925]]
[[ 0.01271944  0.98728055]]
[[ 0.34531954  0.65468049]]
[[ 0.02085589  0.97914416]]
[[ 0.02107153  0.97892845]]
[[ 0.78568214  0.21431786]]
[[ 0.0216091   0.97839087]]
[[ 0.2283645   0.77163553]]
[[ 0.15378086  0.84621918]]
[[ 0.78239906  0.21760093]]
[[ 0.07401802  0.925982  ]]
[[ 0.01991211  0.98008794]]
[[ 0.52513844  0.47486159]]
[[ 0.55446124  0.44553876]]
[[ 0.13838084  0.86161917]]
[[ 0.63084984  0.36915025]]
[[ 0.32465488  0.67534512]]
[[ 0.04144647  0.95855355]]
[[ 0.02875304  0.97124702]]
[[ 0.79108602  0.20891401]]
[[ 0.17453587  0.82546419]]
[[ 0.92038155  0.07961845]]
[[ 0.03198829  0.9680118 ]]
[[ 0.03110793  0.96889216]]
[[ 0.02187661  0.97812337]]
[[ 0.21638286  0.78361714]]
[[ 0.33656719  0.66343284]]
[[ 0.77605063  0.2239494 ]]
[[ 0.89862388  0.10137614]]
[[ 0.16771904  0.83228093]]
[[ 0.77413815  0.22586185]]
[[ 0.04249128  0.9575088 ]]
[[ 0.17149876  0.82850122]]
[[ 0.02983113  0.97016889]]
[[ 0.1089643   0.89103568]]
[[ 0.04670994  0.95329005]]
[[ 0.05457867  0.94542134]]
[[ 0.13320814  0.86679184]]
[[ 0.10277358  0.89722645]]
[[ 0.04275209  0.95724797]]
[[ 0.02241951  0.97758043]]
[[ 0.24000803  0.759992  ]]
[[ 0.01966325  0.98033673]]
[[ 0.02072121  0.9792788 ]]
[[ 0.34154749  0.65845251]]
[[ 0.11248328  0.88751668]]
[[ 0.05123806  0.948762  ]]
[[ 0.03258471  0.96741527]]
[[ 0.01985766  0.98014235]]
[[ 0.10928809  0.8907119 ]]
[[ 0.3079747   0.69202536]]
[[ 0.03070589  0.96929413]]
[[ 0.22438239  0.77561754]]
[[ 0.33779523  0.6622048 ]]
[[ 0.08330038  0.91669959]]
[[ 0.19140342  0.80859655]]
[[ 0.02175783  0.97824222]]
[[ 0.33036482  0.66963518]]
[[ 0.02212631  0.97787368]]
[[ 0.15863678  0.84136319]]
[[ 0.05352191  0.94647813]]
[[ 0.10215452  0.89784551]]
[[ 0.02150279  0.97849727]]
[[ 0.02220717  0.97779286]]
[[ 0.01858138  0.98141861]]
[[ 0.98811984  0.0118801 ]]
[[ 0.08501774  0.91498232]]
[[ 0.16475669  0.83524334]]
[[ 0.9568848   0.04311527]]
[[ 0.17592518  0.82407486]]
[[ 0.15147762  0.84852242]]
[[ 0.02180224  0.97819775]]
[[ 0.02135641  0.9786436 ]]
[[ 0.36246687  0.63753313]]
[[ 0.10991252  0.89008749]]
[[ 0.14509638  0.85490358]]
[[ 0.37770721  0.62229282]]
[[ 0.21986398  0.78013605]]
[[ 0.17267922  0.82732081]]
[[ 0.66983491  0.33016512]]
[[ 0.36839381  0.63160616]]
[[ 0.14525169  0.85474825]]
[[ 0.02730114  0.97269881]]
[[ 0.5506826   0.44931734]]
[[ 0.05989589  0.94010407]]
[[ 0.02147413  0.97852588]]
[[ 0.15720549  0.84279454]]
[[ 0.36317113  0.6368289 ]]
[[ 0.15298349  0.84701657]]
[[ 0.32485709  0.67514288]]
[[ 0.02139965  0.97860032]]
[[ 0.03009584  0.96990418]]
[[ 0.01866864  0.98133135]]
[[ 0.0853999   0.91460013]]
[[ 0.90100491  0.0989951 ]]
[[ 0.49868736  0.50131267]]
[[ 0.96287751  0.03712247]]
[[ 0.21817788  0.78182209]]
[[ 0.03229572  0.96770424]]
[[ 0.02043527  0.97956467]]
[[ 0.17487422  0.82512575]]
[[ 0.1997664  0.8002336]]
[[ 0.04316529  0.95683467]]
[[ 0.31960031  0.68039966]]
[[ 0.598993    0.40100697]]
[[ 0.1576755  0.8423245]]
[[ 0.12132085  0.87867922]]
[[ 0.09475371  0.90524632]]
[[ 0.02136427  0.97863573]]
[[ 0.02674819  0.97325176]]
[[ 0.03158806  0.96841192]]
[[ 0.0209947   0.97900534]]
[[ 0.13167803  0.8683219 ]]
[[ 0.0166774   0.98332256]]
[[ 0.29599339  0.70400661]]
