[[ 0.33627763  0.6637224 ]]
[[ 0.76616377  0.23383628]]
[[ 0.17043115  0.8295688 ]]
[[ 0.45566732  0.54433262]]
[[ 0.06368453  0.93631554]]
[[ 0.40093619  0.59906381]]
[[ 0.21646592  0.78353405]]
[[ 0.10107997  0.89892   ]]
[[ 0.0994876  0.9005124]]
[[ 0.36288971  0.63711029]]
[[ 0.15670614  0.84329385]]
[[ 0.12957716  0.87042284]]
[[ 0.33082691  0.66917312]]
[[ 0.06357955  0.93642044]]
[[ 0.1712344   0.82876563]]
[[ 0.14049546  0.85950458]]
[[ 0.06207178  0.93792826]]
[[ 0.34614927  0.65385073]]
[[ 0.04085208  0.95914793]]
[[ 0.07427852  0.92572141]]
[[ 0.13855231  0.86144769]]
[[ 0.11472285  0.88527709]]
[[ 0.14695983  0.85304022]]
[[ 0.11720008  0.88279998]]
[[ 0.25915024  0.74084979]]
[[ 0.74978548  0.25021452]]
[[ 0.09663571  0.90336424]]
[[ 0.53123981  0.46876019]]
[[ 0.83973545  0.16026455]]
[[ 0.29679656  0.70320344]]
[[ 0.1738077   0.82619232]]
[[ 0.08806693  0.91193306]]
[[ 0.34596667  0.65403336]]
[[ 0.60335737  0.39664266]]
[[ 0.01597259  0.98402739]]
[[ 0.15687245  0.84312755]]
[[ 0.2050696  0.7949304]]
[[ 0.06297123  0.93702883]]
[[ 0.5597297  0.4402703]]
[[ 0.10419901  0.89580095]]
[[ 0.26293218  0.73706776]]
[[ 0.01345505  0.98654503]]
[[ 0.20398377  0.79601628]]
[[ 0.05310812  0.9468919 ]]
[[ 0.16403854  0.83596146]]
[[ 0.08561517  0.91438478]]
[[ 0.04177056  0.95822948]]
[[ 0.34392023  0.65607977]]
[[ 0.1431115   0.85688853]]
[[ 0.85608113  0.14391886]]
[[ 0.06244883  0.9375512 ]]
[[ 0.05020102  0.94979906]]
[[ 0.11778573  0.88221431]]
[[ 0.06898599  0.93101394]]
[[ 0.02477298  0.975227  ]]
[[ 0.56602365  0.43397635]]
[[ 0.19837788  0.80162209]]
[[ 0.2908141  0.7091859]]
[[ 0.05671964  0.94328034]]
[[ 0.1009126   0.89908743]]
[[ 0.30500111  0.69499886]]
[[ 0.04353036  0.95646966]]
[[ 0.11310346  0.88689655]]
[[ 0.081337    0.91866302]]
[[ 0.80060703  0.199393  ]]
[[ 0.10367757  0.89632243]]
[[ 0.62162381  0.37837613]]
[[ 0.3561312  0.6438688]]
[[ 0.09939506  0.9006049 ]]
[[ 0.04071036  0.95928961]]
