[[ 0.07382002  0.92617995]]
[[ 0.17359175  0.82640821]]
[[ 0.05975993  0.94024003]]
[[ 0.04144647  0.95855355]]
[[ 0.03493597  0.96506405]]
[[ 0.27403158  0.72596836]]
[[ 0.76795334  0.2320466 ]]
[[ 0.11085588  0.88914412]]
[[ 0.11679799  0.88320196]]
[[ 0.79614794  0.20385201]]
[[ 0.39897582  0.60102415]]
[[ 0.92902696  0.07097299]]
[[ 0.06246181  0.93753821]]
[[ 0.14775474  0.85224533]]
[[ 0.07500522  0.92499477]]
[[ 0.70997435  0.29002571]]
[[ 0.15098421  0.84901577]]
[[ 0.02889915  0.97110087]]
[[ 0.88950241  0.11049763]]
[[ 0.26750261  0.73249733]]
[[ 0.06920081  0.93079919]]
[[ 0.05542849  0.9445715 ]]
[[ 0.05622632  0.94377369]]
[[ 0.062782    0.93721801]]
[[ 0.06243056  0.93756944]]
[[ 0.07609658  0.92390341]]
[[ 0.05325697  0.94674301]]
[[ 0.16607922  0.83392072]]
[[ 0.18259615  0.81740385]]
[[ 0.05109954  0.9489004 ]]
[[ 0.2115341   0.78846592]]
[[ 0.73386413  0.26613587]]
[[ 0.06425964  0.93574035]]
[[ 0.28196281  0.71803719]]
[[ 0.01777002  0.98222995]]
[[ 0.16617836  0.83382165]]
[[ 0.35357895  0.64642102]]
[[ 0.13018155  0.86981845]]
[[ 0.04969895  0.95030111]]
[[ 0.56382847  0.43617162]]
[[ 0.11802568  0.88197434]]
[[ 0.65746146  0.34253854]]
[[ 0.66013825  0.33986175]]
[[ 0.71968561  0.28031436]]
[[ 0.69518048  0.30481949]]
[[ 0.17020418  0.82979578]]
[[ 0.69355559  0.30644447]]
[[ 0.71980864  0.28019139]]
[[ 0.68890518  0.31109485]]
[[ 0.67498606  0.32501397]]
[[ 0.13730334  0.86269671]]
[[ 0.07972956  0.92027038]]
[[ 0.70966262  0.29033735]]
[[ 0.61083627  0.38916382]]
[[ 0.24525373  0.75474632]]
[[ 0.0313941   0.96860594]]
[[ 0.71930641  0.28069362]]
[[ 0.85401773  0.14598222]]
[[ 0.04085208  0.95914793]]
[[ 0.65351063  0.3464894 ]]
[[ 0.53501272  0.46498728]]
[[ 0.5887931  0.4112069]]
[[ 0.35370955  0.64629042]]
[[ 0.06629937  0.93370062]]
[[ 0.13371326  0.86628675]]
[[ 0.32451504  0.67548496]]
[[ 0.28016591  0.71983409]]
[[ 0.49527323  0.50472683]]
[[ 0.12131327  0.87868673]]
[[ 0.02371299  0.97628707]]
[[ 0.10018857  0.89981139]]
[[ 0.20837061  0.79162943]]
[[ 0.21232976  0.78767025]]
[[ 0.17512305  0.82487696]]
[[ 0.0592648   0.94073516]]
[[ 0.18838257  0.81161749]]
[[ 0.1334261   0.86657393]]
[[ 0.17411309  0.82588696]]
[[ 0.20868838  0.79131162]]
[[ 0.48517403  0.51482594]]
[[ 0.01972229  0.98027772]]
[[ 0.21995153  0.78004843]]
[[ 0.13143274  0.86856729]]
[[ 0.11226331  0.88773674]]
[[ 0.83776933  0.16223063]]
[[ 0.08198336  0.91801661]]
[[ 0.8013531   0.19864695]]
[[ 0.11441613  0.88558388]]
[[ 0.15687245  0.84312755]]
[[ 0.05310812  0.9468919 ]]
[[ 0.72638816  0.27361184]]
[[ 0.14448714  0.85551286]]
[[ 0.1012237   0.89877629]]
[[ 0.11197166  0.88802838]]
[[ 0.5683943  0.4316057]]
[[ 0.03009647  0.96990347]]
[[ 0.79913372  0.20086633]]
[[ 0.14530438  0.85469568]]
[[ 0.19005196  0.80994803]]
[[ 0.13004775  0.8699522 ]]
[[ 0.05020102  0.94979906]]
[[ 0.11084394  0.8891561 ]]
[[ 0.17533092  0.82466906]]
[[ 0.12761451  0.8723855 ]]
[[ 0.64430761  0.35569245]]
[[ 0.58032322  0.41967684]]
[[ 0.0862596   0.91374034]]
[[ 0.11673535  0.88326466]]
[[ 0.15405093  0.84594911]]
[[ 0.25967908  0.74032092]]
[[ 0.06438218  0.9356178 ]]
[[ 0.56889099  0.43110898]]
[[ 0.48964936  0.51035064]]
[[ 0.2270195   0.77298051]]
[[ 0.39975113  0.60024887]]
[[ 0.05852083  0.94147921]]
[[ 0.93766183  0.06233811]]
[[ 0.02839983  0.97160012]]
[[ 0.10951674  0.89048326]]
[[ 0.85215241  0.14784759]]
[[ 0.21951152  0.78048855]]
[[ 0.1507123   0.84928769]]
[[ 0.04353036  0.95646966]]
[[ 0.11096661  0.88903338]]
[[ 0.10236744  0.8976326 ]]
[[ 0.13373527  0.86626476]]
[[ 0.13393804  0.86606199]]
[[ 0.30943054  0.69056946]]
[[ 0.72243357  0.27756649]]
[[ 0.06548507  0.93451494]]
[[ 0.13986787  0.8601321 ]]
[[ 0.1575186   0.84248137]]
[[ 0.07851012  0.92148989]]
[[ 0.11871675  0.88128322]]
[[ 0.28304243  0.71695757]]
[[ 0.22714815  0.77285182]]
[[ 0.09333477  0.90666521]]
[[ 0.24813208  0.75186795]]
[[ 0.12797825  0.87202179]]
[[ 0.13125412  0.86874592]]
[[ 0.05542153  0.94457847]]
[[ 0.55944318  0.44055673]]
[[ 0.27502349  0.72497654]]
[[ 0.28438765  0.71561241]]
[[ 0.20282726  0.79717273]]
[[ 0.31115103  0.68884897]]
[[ 0.72370839  0.27629164]]
[[ 0.15048464  0.84951544]]
[[ 0.97112966  0.0288704 ]]
[[ 0.04792424  0.95207572]]
[[ 0.90755254  0.0924475 ]]
[[ 0.05589479  0.94410521]]
[[ 0.14351207  0.85648793]]
[[ 0.3192561   0.68074387]]
[[ 0.66291022  0.33708981]]
[[ 0.07195666  0.92804337]]
[[ 0.11224744  0.88775253]]
[[ 0.08186223  0.91813779]]
[[ 0.48778263  0.51221734]]
[[ 0.08986368  0.91013628]]
[[ 0.78007346  0.21992655]]
[[ 0.0591484   0.94085157]]
[[ 0.40268317  0.59731674]]
[[ 0.02224021  0.97775978]]
[[ 0.12094518  0.8790549 ]]
[[ 0.51077157  0.48922843]]
[[ 0.04893789  0.95106208]]
[[ 0.02111169  0.97888833]]
[[ 0.10345494  0.89654505]]
[[ 0.20579529  0.79420471]]
[[ 0.52150428  0.47849566]]
[[ 0.1712344   0.82876563]]
[[ 0.1743198  0.8256802]]
[[ 0.66378552  0.33621448]]
[[ 0.10107997  0.89892   ]]
[[ 0.1440552   0.85594475]]
[[ 0.1270906   0.87290943]]
[[ 0.13290891  0.867091  ]]
[[ 0.45954457  0.54045546]]
[[ 0.06367409  0.93632585]]
[[ 0.0893089   0.91069108]]
[[ 0.19574147  0.80425853]]
[[ 0.09909367  0.90090632]]
[[ 0.845909    0.15409105]]
[[ 0.11016288  0.88983709]]
[[ 0.68923706  0.31076288]]
[[ 0.76741803  0.23258203]]
[[ 0.06797286  0.93202716]]
[[ 0.20297     0.79702997]]
[[ 0.08285384  0.91714621]]
[[ 0.06384102  0.93615901]]
[[ 0.02017614  0.97982383]]
[[ 0.03140791  0.96859211]]
[[ 0.12743431  0.87256563]]
[[ 0.79965377  0.20034622]]
[[ 0.15378086  0.84621918]]
[[ 0.35739723  0.64260274]]
[[ 0.11926567  0.88073432]]
[[ 0.05121203  0.94878793]]
[[ 0.81293613  0.1870639 ]]
[[ 0.01963938  0.98036069]]
[[ 0.402823    0.59717703]]
[[ 0.10043689  0.89956313]]
[[ 0.01010982  0.98989022]]
[[ 0.52036196  0.47963804]]
[[ 0.07829446  0.92170554]]
[[ 0.4294152   0.57058477]]
[[ 0.89352775  0.10647234]]
[[ 0.2913228   0.70867723]]
[[ 0.64117497  0.35882506]]
[[ 0.21622434  0.78377563]]
[[ 0.03139311  0.96860683]]
[[ 0.3557395   0.64426053]]
[[ 0.01341281  0.98658723]]
[[ 0.09693528  0.90306473]]
[[ 0.36519828  0.63480169]]
[[ 0.06060818  0.93939179]]
[[ 0.14311612  0.85688388]]
[[ 0.06509582  0.93490416]]
[[ 0.14454672  0.85545337]]
[[ 0.71689761  0.28310236]]
[[ 0.09163214  0.90836781]]
[[ 0.07527964  0.92472035]]
[[ 0.90822506  0.09177494]]
[[ 0.07700495  0.92299503]]
[[ 0.78322542  0.21677458]]
[[ 0.01996111  0.98003894]]
[[ 0.07521482  0.9247852 ]]
[[ 0.09426849  0.9057315 ]]
[[ 0.25750378  0.74249625]]
[[ 0.13104165  0.86895841]]
[[ 0.31158695  0.68841302]]
[[ 0.0233149   0.97668517]]
[[ 0.0366167   0.96338332]]
[[ 0.12128982  0.87871015]]
[[ 0.03107479  0.96892524]]
[[ 0.46962398  0.53037608]]
[[ 0.05808579  0.9419142 ]]
[[ 0.05610222  0.94389772]]
[[ 0.6436187  0.3563813]]
[[ 0.11952104  0.88047892]]
[[ 0.02192628  0.97807378]]
[[ 0.0658566   0.93414342]]
[[ 0.10705698  0.89294297]]
[[ 0.00979336  0.99020666]]
[[ 0.97596753  0.02403245]]
[[ 0.06560197  0.93439806]]
[[ 0.21742566  0.7825743 ]]
[[ 0.26693696  0.7330631 ]]
[[ 0.32704055  0.67295939]]
[[ 0.30452198  0.69547802]]
[[ 0.11228488  0.88771516]]
[[ 0.09458786  0.90541214]]
[[ 0.13749214  0.86250782]]
[[ 0.31059021  0.68940979]]
[[ 0.75857025  0.24142979]]
[[ 0.03043385  0.96956617]]
[[ 0.02214018  0.97785985]]
[[ 0.02955671  0.97044331]]
[[ 0.0189216   0.98107845]]
