[[ 0.0928622   0.90713781]]
[[ 0.13568507  0.86431497]]
[[ 0.12219787  0.87780213]]
[[ 0.1177489   0.88225102]]
[[ 0.11465061  0.88534945]]
[[ 0.80613899  0.19386104]]
[[ 0.23229858  0.76770139]]
[[ 0.1498733   0.85012668]]
[[ 0.15141425  0.84858578]]
[[ 0.07625231  0.92374766]]
[[ 0.05555553  0.94444448]]
[[ 0.22487547  0.77512455]]
[[ 0.12620293  0.87379706]]
[[ 0.2364566   0.76354337]]
[[ 0.07180125  0.9281987 ]]
[[ 0.28237092  0.71762913]]
[[ 0.11728079  0.88271922]]
[[ 0.0670078   0.93299228]]
[[ 0.0366684   0.96333164]]
[[ 0.07372286  0.9262771 ]]
[[ 0.07089503  0.92910492]]
[[ 0.08664422  0.91335577]]
[[ 0.06967474  0.93032527]]
[[ 0.02683487  0.97316521]]
[[ 0.23902278  0.76097721]]
[[ 0.03164727  0.96835268]]
[[ 0.07823648  0.9217636 ]]
[[ 0.23843813  0.76156187]]
[[ 0.06319593  0.93680406]]
[[ 0.02640123  0.97359878]]
[[ 0.08848044  0.91151959]]
[[ 0.07539646  0.92460352]]
[[ 0.18665965  0.81334037]]
[[ 0.2716876   0.72831237]]
[[ 0.12211203  0.87788802]]
[[ 0.13700707  0.86299294]]
[[ 0.13355581  0.86644423]]
[[ 0.13775809  0.86224186]]
[[ 0.07022444  0.92977554]]
[[ 0.07213901  0.92786092]]
[[ 0.10722487  0.89277512]]
[[ 0.07051908  0.92948091]]
[[ 0.06547277  0.93452722]]
[[ 0.3233501   0.67664993]]
[[ 0.07727722  0.92272282]]
[[ 0.13983403  0.86016601]]
[[ 0.14833353  0.85166645]]
[[ 0.11871063  0.8812893 ]]
[[ 0.11987463  0.8801254 ]]
[[ 0.12374023  0.87625974]]
[[ 0.12892506  0.87107491]]
[[ 0.28277504  0.71722496]]
[[ 0.27744293  0.72255707]]
[[ 0.14107256  0.85892743]]
[[ 0.20520779  0.79479218]]
[[ 0.20028175  0.79971826]]
[[ 0.12770681  0.87229317]]
[[ 0.28080973  0.7191903 ]]
[[ 0.22001925  0.77998078]]
[[ 0.14567953  0.85432041]]
[[ 0.23766534  0.76233464]]
[[ 0.26879385  0.73120612]]
[[ 0.35590744  0.64409256]]
[[ 0.07239499  0.92760503]]
[[ 0.19241822  0.80758178]]
[[ 0.18089795  0.81910211]]
[[ 0.13656799  0.86343199]]
[[ 0.12842008  0.87157989]]
[[ 0.07182577  0.92817426]]
[[ 0.16916242  0.83083755]]
[[ 0.06824072  0.93175924]]
[[ 0.14214517  0.85785484]]
[[ 0.07935826  0.92064178]]
[[ 0.02585927  0.9741407 ]]
[[ 0.27546209  0.72453791]]
[[ 0.13089269  0.86910731]]
