[[ 0.04523233  0.9547677 ]]
[[ 0.04568016  0.95431983]]
[[ 0.05565679  0.94434315]]
[[ 0.12752336  0.87247664]]
[[ 0.16780688  0.83219308]]
[[ 0.04495284  0.95504713]]
[[ 0.16013247  0.83986753]]
[[ 0.15054615  0.84945381]]
[[ 0.12591626  0.87408376]]
[[ 0.16782485  0.8321752 ]]
[[ 0.57914323  0.4208568 ]]
[[ 0.02661196  0.97338796]]
[[ 0.1833898   0.81661022]]
[[ 0.62051922  0.37948072]]
[[ 0.62631446  0.37368548]]
[[ 0.75734502  0.24265499]]
[[ 0.09259262  0.90740734]]
[[ 0.15063035  0.84936965]]
[[ 0.05337591  0.9466241 ]]
[[ 0.03379815  0.96620184]]
[[ 0.0356719   0.96432805]]
[[ 0.04686731  0.95313263]]
[[ 0.5164091   0.48359096]]
[[ 0.05121822  0.94878185]]
[[ 0.04477414  0.95522583]]
[[ 0.33052877  0.66947126]]
[[ 0.05783057  0.94216937]]
[[ 0.13537048  0.86462951]]
[[ 0.36219028  0.63780975]]
[[ 0.3536422   0.64635777]]
[[ 0.61669379  0.38330618]]
[[ 0.15483619  0.84516376]]
[[ 0.10909662  0.89090335]]
[[ 0.11065326  0.88934672]]
[[ 0.07920209  0.92079788]]
[[ 0.06371861  0.93628144]]
[[ 0.15347117  0.84652883]]
[[ 0.12765823  0.87234181]]
[[ 0.11600834  0.88399166]]
[[ 0.05228106  0.94771892]]
[[ 0.15646963  0.84353042]]
[[ 0.12219676  0.87780321]]
[[ 0.11364091  0.8863591 ]]
[[ 0.18860371  0.81139636]]
[[ 0.04773503  0.95226496]]
[[ 0.29117438  0.70882559]]
[[ 0.30902538  0.69097459]]
[[ 0.04531631  0.95468372]]
[[ 0.13572645  0.86427355]]
[[ 0.15693934  0.84306067]]
[[ 0.13130046  0.86869949]]
[[ 0.10781982  0.89218014]]
[[ 0.04792922  0.95207077]]
[[ 0.04540857  0.95459145]]
[[ 0.11486679  0.88513315]]
[[ 0.10919015  0.89080977]]
[[ 0.09978796  0.90021205]]
[[ 0.0448726   0.95512742]]
[[ 0.11129883  0.8887012 ]]
[[ 0.07896516  0.92103481]]
[[ 0.16586728  0.83413267]]
[[ 0.0842273   0.91577268]]
[[ 0.11987108  0.88012892]]
[[ 0.10568772  0.89431226]]
[[ 0.11898021  0.88101977]]
[[ 0.03362812  0.96637195]]
[[ 0.04603298  0.95396703]]
[[ 0.04489456  0.95510542]]
[[ 0.04684153  0.9531585 ]]
[[ 0.13656799  0.86343199]]
[[ 0.10734271  0.89265734]]
[[ 0.04443237  0.9555676 ]]
[[ 0.45143431  0.54856569]]
[[ 0.23040925  0.76959074]]
[[ 0.15273447  0.84726548]]
[[ 0.40520927  0.5947907 ]]
[[ 0.27816173  0.72183824]]
[[ 0.42424151  0.57575852]]
[[ 0.41415936  0.58584064]]
[[ 0.18311174  0.81688821]]
[[ 0.0485725   0.95142752]]
[[ 0.04472384  0.95527619]]
[[ 0.1224626   0.87753737]]
[[ 0.13532297  0.86467701]]
[[ 0.04707505  0.95292497]]
[[ 0.36493772  0.63506234]]
[[ 0.04311194  0.95688808]]
[[ 0.00660241  0.99339759]]
[[ 0.13588764  0.86411232]]
[[ 0.03888072  0.96111929]]
[[ 0.04619792  0.95380205]]
[[ 0.43445349  0.56554651]]
[[ 0.0427492   0.95725077]]
[[ 0.04570273  0.9542973 ]]
[[ 0.11844914  0.88155085]]
[[ 0.04564195  0.9543581 ]]
[[ 0.4722895  0.5277105]]
[[ 0.04408957  0.95591038]]
[[ 0.04158285  0.95841712]]
[[ 0.12219787  0.87780213]]
[[ 0.02616737  0.97383267]]
[[ 0.04594313  0.95405686]]
[[ 0.04707629  0.95292366]]
[[ 0.04492467  0.95507532]]
[[ 0.04573231  0.95426774]]
[[ 0.04580398  0.95419598]]
[[ 0.06647136  0.9335286 ]]
[[ 0.24856424  0.75143576]]
[[ 0.04530912  0.95469087]]
[[ 0.34341583  0.65658414]]
[[ 0.04941369  0.95058638]]
[[ 0.47223416  0.52776575]]
[[ 0.1090145   0.89098549]]
[[ 0.0854649   0.91453511]]
[[ 0.13270666  0.86729336]]
[[ 0.0432041   0.95679593]]
[[ 0.20992623  0.79007375]]
[[ 0.04573249  0.9542675 ]]
[[ 0.70828497  0.29171497]]
[[ 0.04394641  0.95605356]]
[[ 0.13479902  0.865201  ]]
[[ 0.04502057  0.95497942]]
[[ 0.11929532  0.88070464]]
[[ 0.04600041  0.95399958]]
[[ 0.12129702  0.87870294]]
[[ 0.04485313  0.95514685]]
[[ 0.0434786   0.95652145]]
[[ 0.04482594  0.95517409]]
[[ 0.04456834  0.9554317 ]]
[[ 0.04282719  0.95717281]]
[[ 0.04406427  0.95593566]]
[[ 0.57817519  0.42182481]]
[[ 0.10940371  0.89059627]]
[[ 0.11145779  0.88854223]]
[[ 0.04304175  0.95695823]]
[[ 0.04665017  0.95334983]]
[[ 0.72506064  0.2749393 ]]
[[ 0.04810786  0.9518922 ]]
[[ 0.04740451  0.95259547]]
[[ 0.79400718  0.2059928 ]]
[[ 0.04200597  0.95799404]]
[[ 0.38961288  0.61038715]]
[[ 0.94086176  0.05913824]]
[[ 0.58584607  0.41415393]]
[[ 0.2292119   0.77078813]]
[[ 0.06012557  0.93987447]]
[[ 0.04237746  0.95762259]]
[[ 0.12644495  0.87355506]]
[[ 0.11786398  0.88213599]]
[[ 0.1211291   0.87887084]]
[[ 0.6670503   0.33294967]]
[[ 0.54834908  0.45165089]]
[[ 0.71543574  0.28456426]]
[[ 0.20389791  0.79610211]]
[[ 0.19789016  0.80210984]]
[[ 0.08596346  0.91403657]]
[[ 0.11502589  0.88497412]]
[[ 0.07661519  0.92338479]]
[[ 0.09290808  0.90709192]]
[[ 0.08269949  0.91730052]]
[[ 0.14976276  0.85023725]]
[[ 0.48368713  0.51631284]]
[[ 0.0999881   0.90001196]]
[[ 0.04617806  0.9538219 ]]
[[ 0.25515565  0.74484438]]
[[ 0.11793552  0.88206452]]
[[ 0.10529371  0.89470631]]
[[ 0.35001597  0.649984  ]]
[[ 0.11513852  0.88486147]]
[[ 0.08744278  0.91255718]]
[[ 0.06522185  0.93477821]]
[[ 0.09892312  0.90107691]]
[[ 0.04531036  0.95468968]]
[[ 0.03918574  0.96081424]]
[[ 0.17156011  0.82843983]]
[[ 0.42481661  0.57518339]]
[[ 0.14419109  0.85580891]]
[[ 0.09905242  0.90094751]]
[[ 0.02684955  0.97315049]]
[[ 0.10654242  0.89345759]]
[[ 0.2258779   0.77412206]]
[[ 0.04531168  0.95468837]]
[[ 0.75412828  0.24587165]]
[[ 0.11805148  0.88194847]]
[[ 0.06448304  0.93551689]]
[[ 0.31668347  0.68331653]]
[[ 0.09603964  0.90396029]]
[[ 0.50708324  0.49291679]]
[[ 0.31999525  0.68000478]]
[[ 0.07381358  0.9261865 ]]
[[ 0.1693199   0.83068007]]
[[ 0.23861288  0.76138705]]
[[ 0.03802056  0.96197945]]
[[ 0.15102689  0.8489731 ]]
[[ 0.19431697  0.80568302]]
[[ 0.25120732  0.74879271]]
[[ 0.26925972  0.73074025]]
[[ 0.05577104  0.94422901]]
[[ 0.11719737  0.88280267]]
[[ 0.06755336  0.93244666]]
[[ 0.10420533  0.89579463]]
[[ 0.54075217  0.45924789]]
[[ 0.18477802  0.81522197]]
[[ 0.04356621  0.95643377]]
[[ 0.1031893   0.89681071]]
[[ 0.09732082  0.90267915]]
[[ 0.07884415  0.92115587]]
[[ 0.73726189  0.26273808]]
[[ 0.08980887  0.91019112]]
[[ 0.35129178  0.64870822]]
[[ 0.12065109  0.87934893]]
[[ 0.32467622  0.67532378]]
[[ 0.84343135  0.15656866]]
[[ 0.0417577   0.95824224]]
[[ 0.21549098  0.78450906]]
[[ 0.15474884  0.84525114]]
[[ 0.37789711  0.62210286]]
[[ 0.02919675  0.97080326]]
[[ 0.06895854  0.93104142]]
[[ 0.03391159  0.96608847]]
[[ 0.02889152  0.9711085 ]]
[[ 0.04105771  0.95894235]]
[[ 0.01826618  0.9817338 ]]
[[ 0.081549    0.91845101]]
[[ 0.0764171   0.92358291]]
[[ 0.13097268  0.86902732]]
[[ 0.1102648   0.88973522]]
[[ 0.07519759  0.92480242]]
[[ 0.20118357  0.79881644]]
[[ 0.04273823  0.95726174]]
[[ 0.10058343  0.89941657]]
[[ 0.16728143  0.83271861]]
[[ 0.35510558  0.64489442]]
[[ 0.05839288  0.94160706]]
[[ 0.05899529  0.94100469]]
[[ 0.04385744  0.9561426 ]]
[[ 0.17313287  0.8268671 ]]
[[ 0.14710909  0.85289085]]
[[ 0.0486924   0.95130765]]
[[ 0.10510857  0.8948915 ]]
[[ 0.10371999  0.89627999]]
[[ 0.04638004  0.95362002]]
[[ 0.07097057  0.92902941]]
[[ 0.11328024  0.8867197 ]]
[[ 0.04601464  0.95398539]]
[[ 0.10524708  0.89475286]]
[[ 0.87520939  0.1247906 ]]
[[ 0.71827769  0.28172228]]
[[ 0.87520939  0.1247906 ]]
[[ 0.16744246  0.8325575 ]]
[[ 0.05470035  0.94529963]]
[[ 0.82152057  0.17847942]]
[[ 0.10174879  0.89825118]]
[[ 0.0456997   0.95430028]]
[[ 0.0394052   0.96059477]]
[[ 0.14281282  0.85718721]]
[[ 0.10078905  0.89921099]]
[[ 0.11043643  0.8895635 ]]
[[ 0.1000887   0.89991134]]
[[ 0.04510325  0.95489681]]
[[ 0.14410856  0.85589141]]
[[ 0.11143959  0.88856035]]
[[ 0.0995407   0.90045935]]
[[ 0.62733799  0.37266198]]
[[ 0.09929169  0.90070832]]
[[ 0.10997448  0.8900255 ]]
[[ 0.10253739  0.89746261]]
[[ 0.04348338  0.95651662]]
[[ 0.06325766  0.93674231]]
[[ 0.09853674  0.90146327]]
[[ 0.10397446  0.89602554]]
[[ 0.10383464  0.89616537]]
[[ 0.26098639  0.73901355]]
[[ 0.07462327  0.92537677]]
[[ 0.14127529  0.85872471]]
[[ 0.04783175  0.95216823]]
[[ 0.11333467  0.88666534]]
[[ 0.10076454  0.89923549]]
[[ 0.22959432  0.77040565]]
[[ 0.21825422  0.78174573]]
[[ 0.0237669   0.97623312]]
[[ 0.05450453  0.94549549]]
[[ 0.46000302  0.53999698]]
[[ 0.14887653  0.85112345]]
[[ 0.03040088  0.96959913]]
[[ 0.81332028  0.18667974]]
[[ 0.04085031  0.95914966]]
[[ 0.83871132  0.16128868]]
[[ 0.61206454  0.38793546]]
[[ 0.08520874  0.91479123]]
[[ 0.04567035  0.95432961]]
[[ 0.23164749  0.76835257]]
[[ 0.07397219  0.92602777]]
[[ 0.10018853  0.89981151]]
[[ 0.04849578  0.95150423]]
[[ 0.05517606  0.94482392]]
[[ 0.06620894  0.93379104]]
[[ 0.07851095  0.92148906]]
[[ 0.07361943  0.92638063]]
[[ 0.15165333  0.84834665]]
[[ 0.15147641  0.84852362]]
[[ 0.04701228  0.95298773]]
[[ 0.04637486  0.95362508]]
[[ 0.15357068  0.84642929]]
[[ 0.1027603   0.89723969]]
[[ 0.14278632  0.85721368]]
[[ 0.07561701  0.92438293]]
[[ 0.1563451   0.84365487]]
[[ 0.04495915  0.95504087]]
[[ 0.04594693  0.95405304]]
[[ 0.04455051  0.95544952]]
[[ 0.04496798  0.95503205]]
[[ 0.06032929  0.93967074]]
[[ 0.16407402  0.83592606]]
[[ 0.04567156  0.95432842]]
[[ 0.04618197  0.95381802]]
[[ 0.0382349   0.96176517]]
[[ 0.04312544  0.95687455]]
[[ 0.84241062  0.15758933]]
[[ 0.04527051  0.95472944]]
[[ 0.180049  0.819951]]
[[ 0.04453591  0.95546412]]
[[ 0.1345132  0.8654868]]
[[ 0.43467137  0.56532866]]
[[ 0.23096922  0.76903081]]
[[ 0.21080983  0.78919017]]
[[ 0.0453719   0.95462805]]
[[ 0.07396936  0.92603064]]
[[ 0.0453488   0.95465124]]
[[ 0.04775231  0.95224768]]
[[ 0.92490286  0.07509711]]
[[ 0.83818221  0.16181777]]
[[ 0.04528859  0.95471138]]
[[ 0.0449423   0.95505768]]
[[ 0.04564     0.95436001]]
[[ 0.04238314  0.95761687]]
[[ 0.04747975  0.95252031]]
[[ 0.04474769  0.95525229]]
[[ 0.03753163  0.96246839]]
[[ 0.04445184  0.95554811]]
[[ 0.0929601   0.90703988]]
[[ 0.0454917   0.95450824]]
[[ 0.05357129  0.94642866]]
[[ 0.9495225   0.05047752]]
[[ 0.45107654  0.54892343]]
[[ 0.10346437  0.89653563]]
[[ 0.05495923  0.94504076]]
[[ 0.04560481  0.95439523]]
[[ 0.04174332  0.95825672]]
[[ 0.04372381  0.95627624]]
[[ 0.72907829  0.27092168]]
[[ 0.07026851  0.92973143]]
[[ 0.04446531  0.95553476]]
[[ 0.04293333  0.95706666]]
[[ 0.05642442  0.94357562]]
[[ 0.04569243  0.95430762]]
[[ 0.1331867  0.8668133]]
[[ 0.99706572  0.00293433]]
[[ 0.15075612  0.84924382]]
[[ 0.46322438  0.53677571]]
[[ 0.04329187  0.95670813]]
[[ 0.0446486   0.95535135]]
[[ 0.04210245  0.9578976 ]]
[[ 0.04191407  0.95808595]]
[[ 0.04572248  0.95427752]]
[[ 0.03755297  0.96244711]]
[[ 0.04620768  0.95379227]]
[[ 0.14686875  0.85313129]]
[[ 0.44614089  0.55385917]]
[[ 0.15079618  0.84920382]]
[[ 0.90973282  0.09026723]]
[[ 0.04530388  0.95469606]]
[[ 0.14805399  0.851946  ]]
[[ 0.29772645  0.70227349]]
[[ 0.98926359  0.01073641]]
[[ 0.054245    0.94575506]]
[[ 0.04096363  0.95903641]]
[[ 0.19479935  0.8052007 ]]
[[ 0.04259002  0.95740998]]
[[ 0.49267322  0.50732678]]
[[ 0.04269611  0.95730388]]
