[[ 0.06181077  0.93818927]]
[[ 0.33633557  0.6636644 ]]
[[ 0.11301134  0.88698864]]
[[ 0.06586444  0.9341355 ]]
[[ 0.06290079  0.93709928]]
[[ 0.07005055  0.92994946]]
[[ 0.09569681  0.90430325]]
[[ 0.15218371  0.84781629]]
[[ 0.06894363  0.93105644]]
[[ 0.709234    0.29076594]]
[[ 0.25545064  0.74454939]]
[[ 0.33499098  0.66500902]]
[[ 0.26827714  0.73172283]]
[[ 0.02143672  0.97856325]]
[[ 0.17749245  0.82250756]]
[[ 0.29363155  0.70636845]]
[[ 0.24064897  0.75935096]]
[[ 0.07001713  0.92998284]]
[[ 0.238895    0.76110494]]
[[ 0.1783216   0.82167846]]
[[ 0.31655949  0.68344051]]
[[ 0.04939027  0.95060974]]
[[ 0.86416304  0.13583691]]
[[ 0.08719333  0.91280675]]
[[ 0.49951449  0.50048548]]
[[ 0.17695768  0.82304233]]
[[ 0.50714505  0.49285501]]
[[ 0.12687652  0.87312347]]
[[ 0.14309882  0.85690123]]
[[ 0.45993957  0.54006046]]
[[ 0.07691864  0.92308134]]
[[ 0.1206426  0.8793574]]
[[ 0.2988123   0.70118773]]
[[ 0.07124893  0.92875111]]
[[ 0.11952598  0.88047403]]
[[ 0.2490679   0.75093204]]
[[ 0.0167261   0.98327392]]
[[ 0.06521801  0.93478197]]
[[ 0.38079125  0.61920875]]
[[ 0.16160916  0.83839089]]
[[ 0.12753943  0.87246054]]
[[ 0.3163619   0.68363804]]
[[ 0.31026515  0.68973488]]
[[ 0.29820573  0.70179427]]
[[ 0.50851518  0.49148482]]
[[ 0.18316592  0.81683403]]
[[ 0.09756121  0.90243876]]
[[ 0.17275262  0.82724738]]
[[ 0.13928679  0.86071318]]
[[ 0.07088518  0.92911482]]
[[ 0.06763739  0.93236262]]
[[ 0.16317703  0.83682299]]
[[ 0.13753584  0.86246419]]
[[ 0.95285732  0.04714268]]
[[ 0.16275303  0.83724689]]
[[ 0.14463286  0.85536718]]
[[ 0.07229117  0.92770875]]
[[ 0.17961678  0.82038325]]
[[ 0.47555411  0.52444583]]
[[ 0.14267182  0.85732818]]
[[ 0.17784587  0.82215416]]
[[ 0.17161213  0.8283878 ]]
[[ 0.18500373  0.81499624]]
[[ 0.18178104  0.81821895]]
[[ 0.19017507  0.80982494]]
[[ 0.17078194  0.82921809]]
[[ 0.2383104  0.7616896]]
[[ 0.22879133  0.7712087 ]]
[[ 0.14066273  0.85933727]]
[[ 0.1468031   0.85319692]]
[[ 0.15411344  0.84588659]]
[[ 0.1447482   0.85525179]]
[[ 0.14307433  0.85692567]]
[[ 0.14392652  0.8560735 ]]
[[ 0.14000654  0.8599934 ]]
[[ 0.15045601  0.84954399]]
[[ 0.06119008  0.93880987]]
[[ 0.53925329  0.46074668]]
[[ 0.2013718   0.79862815]]
[[ 0.09426631  0.90573364]]
[[ 0.14777768  0.85222226]]
[[ 0.05143892  0.94856113]]
[[ 0.05812369  0.94187623]]
[[ 0.06313057  0.93686944]]
[[ 0.05888943  0.94111061]]
[[ 0.29055253  0.7094475 ]]
[[ 0.52208078  0.47791925]]
[[ 0.48906603  0.510934  ]]
[[ 0.08494743  0.91505253]]
[[ 0.17030819  0.82969177]]
[[ 0.30220929  0.69779068]]
[[ 0.45222619  0.54777378]]
[[ 0.13798454  0.86201537]]
[[ 0.47298959  0.52701038]]
[[ 0.0606722   0.93932784]]
[[ 0.05984349  0.94015658]]
[[ 0.12268689  0.87731308]]
[[ 0.11264863  0.88735133]]
[[ 0.05817248  0.94182748]]
[[ 0.27116296  0.72883701]]
[[ 0.21445614  0.78554392]]
[[ 0.13280894  0.86719108]]
[[ 0.4920193  0.5079807]]
[[ 0.0618131   0.93818694]]
[[ 0.17365263  0.82634735]]
[[ 0.60288453  0.3971155 ]]
[[ 0.15721594  0.84278405]]
[[ 0.14345951  0.8565405 ]]
[[ 0.27112257  0.72887743]]
[[ 0.05821953  0.94178045]]
[[ 0.69581109  0.30418894]]
[[ 0.18130107  0.81869894]]
[[ 0.1602616   0.83973843]]
[[ 0.16203517  0.83796483]]
[[ 0.06052109  0.93947887]]
[[ 0.05637184  0.94362813]]
[[ 0.48765057  0.51234949]]
[[ 0.52318454  0.47681549]]
[[ 0.21882029  0.78117973]]
[[ 0.4990873   0.50091267]]
[[ 0.05802506  0.94197494]]
[[ 0.54887462  0.45112541]]
[[ 0.11906894  0.88093108]]
[[ 0.0981328   0.90186721]]
[[ 0.46437523  0.53562486]]
[[ 0.57951701  0.42048299]]
[[ 0.06093215  0.9390679 ]]
[[ 0.23953684  0.76046312]]
[[ 0.05664985  0.94335014]]
[[ 0.04050639  0.95949364]]
[[ 0.05773305  0.94226694]]
[[ 0.769418    0.23058203]]
[[ 0.16072111  0.83927882]]
[[ 0.0589197   0.94108027]]
[[ 0.13442637  0.86557359]]
[[ 0.05769096  0.94230896]]
[[ 0.46801272  0.53198731]]
[[ 0.06041051  0.9395895 ]]
[[ 0.10254341  0.89745665]]
[[ 0.18941125  0.81058878]]
[[ 0.18111511  0.81888491]]
[[ 0.70321828  0.29678172]]
[[ 0.05884212  0.94115788]]
[[ 0.07114406  0.92885596]]
[[ 0.24422397  0.75577605]]
[[ 0.36630911  0.63369083]]
[[ 0.35787162  0.64212835]]
[[ 0.23863763  0.76136231]]
[[ 0.06651725  0.93348271]]
[[ 0.12514825  0.87485176]]
[[ 0.07138115  0.92861885]]
[[ 0.23894204  0.76105797]]
[[ 0.15726973  0.84273028]]
[[ 0.08198937  0.91801065]]
[[ 0.16234469  0.83765531]]
[[ 0.16057354  0.83942652]]
[[ 0.40597129  0.59402865]]
[[ 0.04174737  0.95825267]]
[[ 0.1241083   0.87589175]]
[[ 0.39490911  0.60509086]]
[[ 0.57503134  0.42496869]]
[[ 0.05884373  0.94115633]]
[[ 0.07148324  0.92851681]]
[[ 0.08084245  0.91915756]]
[[ 0.14022775  0.85977226]]
[[ 0.13356607  0.86643392]]
[[ 0.27175176  0.72824818]]
[[ 0.45988774  0.5401122 ]]
[[ 0.06882469  0.93117529]]
[[ 0.13920331  0.86079663]]
[[ 0.20442264  0.79557741]]
[[ 0.16098791  0.83901209]]
[[ 0.94372702  0.05627296]]
[[ 0.0651946   0.93480539]]
[[ 0.54968864  0.45031136]]
[[ 0.13865402  0.86134601]]
[[ 0.13235736  0.8676427 ]]
[[ 0.14201792  0.85798216]]
[[ 0.13311142  0.86688858]]
[[ 0.09192649  0.90807354]]
[[ 0.08923075  0.91076922]]
[[ 0.07325963  0.92674035]]
[[ 0.12422068  0.87577927]]
[[ 0.14587873  0.85412121]]
[[ 0.12380495  0.87619501]]
[[ 0.11993565  0.88006437]]
[[ 0.11793008  0.88206989]]
[[ 0.12755877  0.87244123]]
[[ 0.12457686  0.87542313]]
[[ 0.06451614  0.93548381]]
[[ 0.15591748  0.84408253]]
[[ 0.12882188  0.87117809]]
[[ 0.15252697  0.84747297]]
[[ 0.16229083  0.83770919]]
[[ 0.12740362  0.87259644]]
[[ 0.11526878  0.88473117]]
[[ 0.13760154  0.86239851]]
[[ 0.15942827  0.8405717 ]]
[[ 0.12657304  0.87342691]]
[[ 0.12840986  0.87159014]]
[[ 0.06296012  0.93703991]]
[[ 0.12237112  0.87762892]]
[[ 0.06458536  0.93541467]]
[[ 0.13271895  0.86728108]]
[[ 0.30465952  0.69534045]]
[[ 0.11760681  0.88239312]]
[[ 0.15779559  0.84220433]]
[[ 0.04035122  0.95964885]]
[[ 0.05823776  0.94176227]]
[[ 0.16964011  0.83035994]]
[[ 0.29401791  0.70598209]]
[[ 0.12625934  0.87374073]]
[[ 0.06223805  0.93776196]]
[[ 0.06459996  0.93540007]]
[[ 0.03204593  0.96795404]]
[[ 0.05936974  0.9406302 ]]
[[ 0.97692811  0.02307191]]
[[ 0.05844747  0.94155252]]
[[ 0.14823903  0.85176098]]
[[ 0.06222956  0.93777043]]
[[ 0.19156855  0.80843145]]
[[ 0.06117415  0.93882585]]
[[ 0.06418523  0.93581474]]
[[ 0.06410407  0.93589586]]
[[ 0.08825789  0.91174209]]
[[ 0.17442489  0.82557505]]
[[ 0.15830806  0.84169191]]
[[ 0.42382827  0.57617176]]
[[ 0.62156105  0.37843889]]
[[ 0.46197322  0.53802681]]
[[ 0.27300718  0.72699285]]
[[ 0.24158768  0.7584123 ]]
[[ 0.1046824   0.89531767]]
[[ 0.02705329  0.97294664]]
[[ 0.083575    0.91642499]]
[[ 0.15962628  0.84037375]]
[[ 0.15889433  0.8411057 ]]
[[ 0.08017175  0.91982824]]
[[ 0.07515181  0.9248482 ]]
[[ 0.16790096  0.83209908]]
[[ 0.14188766  0.85811239]]
[[ 0.17054512  0.82945484]]
[[ 0.33517364  0.66482633]]
[[ 0.06410522  0.93589473]]
[[ 0.08108716  0.91891283]]
[[ 0.11245668  0.88754338]]
[[ 0.08596566  0.91403437]]
[[ 0.24798657  0.75201339]]
[[ 0.07168099  0.92831898]]
[[ 0.03488846  0.96511155]]
[[ 0.07955574  0.92044431]]
[[ 0.14558434  0.8544156 ]]
[[ 0.63101321  0.36898676]]
[[ 0.09543234  0.90456772]]
[[ 0.08911528  0.91088474]]
[[ 0.10526691  0.89473313]]
[[ 0.25954843  0.74045157]]
[[ 0.16561364  0.83438635]]
[[ 0.65799481  0.34200519]]
[[ 0.06115978  0.93884027]]
[[ 0.0740514   0.92594856]]
[[ 0.08790278  0.91209722]]
[[ 0.08659084  0.91340917]]
[[ 0.0515813   0.94841874]]
[[ 0.46481639  0.53518361]]
[[ 0.10984858  0.89015144]]
[[ 0.98388255  0.01611745]]
[[ 0.09550422  0.90449584]]
[[ 0.23934475  0.76065522]]
[[ 0.13306789  0.86693203]]
[[ 0.10018902  0.89981091]]
[[ 0.23527116  0.7647289 ]]
[[ 0.05735119  0.94264877]]
[[ 0.16836737  0.83163255]]
[[ 0.11428511  0.88571483]]
[[ 0.18512717  0.8148728 ]]
[[ 0.11923721  0.88076282]]
[[ 0.08495452  0.9150455 ]]
[[ 0.08602732  0.91397274]]
[[ 0.24201716  0.75798285]]
[[ 0.01784955  0.98215044]]
[[ 0.11256009  0.88743991]]
[[ 0.07766837  0.92233163]]
[[ 0.11492107  0.88507891]]
[[ 0.457955  0.542045]]
[[ 0.10621665  0.89378333]]
[[ 0.07893141  0.92106855]]
