[[ 0.13787     0.86213005]]
[[ 0.14157011  0.85842991]]
[[ 0.09764929  0.90235072]]
[[ 0.10793043  0.89206952]]
[[ 0.65179157  0.34820849]]
[[ 0.04744918  0.95255077]]
[[ 0.14009996  0.85990006]]
[[ 0.68254626  0.3174538 ]]
[[ 0.20101167  0.79898834]]
[[ 0.08981191  0.91018808]]
[[ 0.06608052  0.93391949]]
[[ 0.11850657  0.88149345]]
[[ 0.13125186  0.86874819]]
[[ 0.07693342  0.92306662]]
[[ 0.05003941  0.94996059]]
[[ 0.085646    0.91435397]]
[[ 0.05337932  0.9466207 ]]
[[ 0.05425313  0.94574684]]
[[ 0.17876612  0.82123393]]
[[ 0.09306936  0.90693069]]
[[ 0.1675518   0.83244818]]
[[ 0.46905041  0.53094965]]
[[ 0.07098997  0.92901009]]
[[ 0.05175567  0.94824427]]
[[ 0.04929223  0.95070779]]
[[ 0.02134844  0.97865158]]
[[ 0.16546138  0.83453864]]
[[ 0.12631272  0.87368727]]
[[ 0.05406459  0.94593537]]
[[ 0.05334339  0.94665658]]
[[ 0.15196949  0.84803057]]
[[ 0.0533082   0.94669181]]
[[ 0.05060117  0.94939882]]
[[ 0.07954334  0.92045671]]
[[ 0.34276283  0.65723711]]
[[ 0.05214719  0.94785279]]
[[ 0.10864466  0.89135528]]
[[ 0.01722873  0.98277122]]
[[ 0.26944301  0.73055696]]
[[ 0.63562077  0.36437923]]
[[ 0.22904778  0.77095222]]
[[ 0.08857071  0.91142923]]
[[ 0.04939027  0.95060974]]
[[ 0.084598    0.91540194]]
[[ 0.06862181  0.93137825]]
[[ 0.06896067  0.93103927]]
[[ 0.06181077  0.93818927]]
[[ 0.21943352  0.78056651]]
[[ 0.03537268  0.96462727]]
[[ 0.0698407   0.93015927]]
[[ 0.06397364  0.93602633]]
[[ 0.10321949  0.89678055]]
[[ 0.24585932  0.75414073]]
[[ 0.27992973  0.72007024]]
[[ 0.08965881  0.91034114]]
[[ 0.06608273  0.93391722]]
[[ 0.12365811  0.87634188]]
[[ 0.08802636  0.91197366]]
[[ 0.52972955  0.47027045]]
[[ 0.64729524  0.35270476]]
[[ 0.25133771  0.74866229]]
[[ 0.23678289  0.76321715]]
[[ 0.09711824  0.9028818 ]]
[[ 0.13978161  0.86021841]]
[[ 0.25297388  0.74702621]]
[[ 0.14058173  0.85941827]]
[[ 0.23327915  0.76672089]]
[[ 0.03391303  0.96608704]]
[[ 0.27548704  0.72451293]]
[[ 0.23942105  0.76057899]]
[[ 0.08565952  0.9143405 ]]
[[ 0.05159999  0.94840008]]
[[ 0.07289109  0.92710894]]
[[ 0.24582046  0.75417954]]
[[ 0.74624485  0.25375515]]
[[ 0.07743642  0.92256361]]
[[ 0.07299466  0.92700541]]
[[ 0.06479655  0.93520337]]
[[ 0.10273557  0.89726448]]
[[ 0.09475162  0.90524834]]
[[ 0.10720941  0.8927905 ]]
[[ 0.15728341  0.84271657]]
[[ 0.06242803  0.93757194]]
[[ 0.54025477  0.4597452 ]]
[[ 0.52186972  0.47813028]]
[[ 0.08980589  0.9101941 ]]
[[ 0.06169171  0.93830824]]
[[ 0.44687554  0.55312443]]
[[ 0.10770834  0.89229167]]
[[ 0.0891128   0.91088718]]
[[ 0.06353503  0.93646497]]
[[ 0.4299342  0.5700658]]
[[ 0.08656652  0.91343349]]
[[ 0.6258924  0.3741076]]
[[ 0.04358593  0.95641404]]
[[ 0.09756121  0.90243876]]
[[ 0.02988002  0.97011995]]
[[ 0.89824015  0.10175984]]
[[ 0.97152561  0.02847441]]
[[ 0.10805887  0.89194113]]
[[ 0.12995397  0.87004602]]
[[ 0.09675825  0.90324169]]
[[ 0.08803777  0.91196221]]
[[ 0.10094855  0.89905137]]
[[ 0.09731527  0.90268475]]
[[ 0.20360273  0.79639721]]
[[ 0.13928679  0.86071318]]
[[ 0.12679499  0.87320501]]
[[ 0.22573273  0.77426726]]
[[ 0.4183456   0.58165437]]
[[ 0.08226111  0.91773891]]
[[ 0.11250765  0.88749236]]
[[ 0.16561727  0.83438277]]
[[ 0.30034897  0.699651  ]]
[[ 0.08801249  0.91198754]]
[[ 0.20024505  0.79975492]]
[[ 0.09095356  0.90904647]]
[[ 0.06142012  0.93857986]]
[[ 0.10496224  0.89503777]]
[[ 0.0547986   0.94520146]]
[[ 0.25398186  0.74601817]]
[[ 0.67457074  0.32542926]]
[[ 0.42395228  0.57604778]]
[[ 0.7430954   0.25690457]]
[[ 0.10886832  0.89113164]]
[[ 0.08250596  0.91749406]]
[[ 0.18724504  0.81275493]]
[[ 0.1999066   0.80009341]]
[[ 0.08009639  0.91990358]]
[[ 0.22218896  0.77781105]]
[[ 0.79598266  0.20401733]]
[[ 0.06878676  0.9312132 ]]
[[ 0.64462101  0.35537902]]
[[ 0.15983437  0.84016567]]
[[ 0.30629387  0.6937061 ]]
[[ 0.09394051  0.9060595 ]]
[[ 0.14407894  0.85592103]]
[[ 0.13964437  0.86035556]]
[[ 0.0426126   0.95738739]]
[[ 0.08490805  0.91509199]]
[[ 0.23011589  0.76988411]]
[[ 0.42141464  0.57858545]]
[[ 0.26582724  0.73417276]]
[[ 0.36178058  0.63821942]]
[[ 0.1296625   0.87033749]]
[[ 0.05228661  0.94771338]]
[[ 0.07270358  0.9272964 ]]
[[ 0.10984858  0.89015144]]
[[ 0.0443536   0.95564646]]
[[ 0.54249382  0.45750621]]
[[ 0.1960371   0.80396295]]
[[ 0.09104715  0.90895289]]
[[ 0.21862026  0.78137976]]
[[ 0.05664679  0.94335318]]
[[ 0.25942922  0.74057078]]
[[ 0.09747551  0.90252453]]
[[ 0.04808019  0.95191985]]
[[ 0.03969884  0.96030116]]
[[ 0.0622215   0.93777853]]
[[ 0.06798299  0.93201703]]
