[[ 0.1488146   0.85118538]]
[[ 0.35967547  0.64032459]]
[[ 0.40318865  0.59681141]]
[[ 0.9023217   0.09767828]]
[[ 0.12204356  0.87795645]]
[[ 0.24401763  0.7559824 ]]
[[ 0.14078256  0.85921746]]
[[ 0.07859403  0.92140597]]
[[ 0.11355328  0.88644665]]
[[ 0.13980629  0.86019367]]
[[ 0.09173921  0.90826082]]
[[ 0.15867415  0.84132588]]
[[ 0.42382738  0.57617265]]
[[ 0.44388643  0.55611354]]
[[ 0.29051134  0.70948869]]
[[ 0.19883661  0.80116332]]
[[ 0.27822793  0.72177207]]
[[ 0.33045587  0.66954416]]
[[ 0.8332814   0.16671863]]
[[ 0.49657905  0.50342095]]
[[ 0.42207578  0.57792419]]
[[ 0.11793532  0.8820647 ]]
[[ 0.3331854   0.66681463]]
[[ 0.1432444   0.85675561]]
[[ 0.42001632  0.57998371]]
[[ 0.48930597  0.51069397]]
[[ 0.28325066  0.71674937]]
[[ 0.72209597  0.27790406]]
[[ 0.52830017  0.4716998 ]]
[[ 0.44131866  0.55868143]]
[[ 0.5786345   0.42136544]]
[[ 0.13945605  0.86054391]]
[[ 0.08593206  0.91406792]]
[[ 0.38441575  0.61558431]]
[[ 0.0510575   0.94894248]]
[[ 0.09715685  0.90284312]]
[[ 0.16287461  0.83712536]]
[[ 0.44669345  0.55330658]]
[[ 0.3996501   0.60034996]]
[[ 0.0497371   0.95026284]]
[[ 0.09122092  0.90877908]]
[[ 0.05664789  0.94335216]]
[[ 0.09552176  0.90447825]]
[[ 0.18499784  0.81500208]]
[[ 0.29518408  0.70481592]]
[[ 0.19011734  0.80988264]]
[[ 0.00880452  0.99119544]]
[[ 0.19326448  0.80673552]]
[[ 0.08560075  0.91439921]]
[[ 0.34927016  0.65072984]]
[[ 0.08958443  0.91041553]]
[[ 0.10420837  0.89579165]]
[[ 0.97124714  0.02875292]]
[[ 0.21487059  0.78512937]]
[[ 0.06207464  0.9379254 ]]
[[ 0.26600602  0.73399401]]
[[ 0.52099723  0.47900277]]
[[ 0.0394752  0.9605248]]
[[ 0.0444792   0.95552081]]
[[ 0.47080213  0.52919781]]
[[ 0.74625188  0.25374806]]
[[ 0.1048772   0.89512277]]
[[ 0.18365319  0.81634676]]
[[ 0.03821974  0.96178025]]
[[ 0.05056384  0.94943613]]
[[ 0.65188557  0.34811443]]
[[ 0.07372881  0.92627114]]
[[ 0.28418583  0.71581417]]
[[ 0.30250421  0.69749582]]
[[ 0.42526138  0.57473856]]
[[ 0.30520791  0.69479203]]
[[ 0.34007362  0.65992635]]
[[ 0.0948711  0.9051289]]
[[ 0.04981348  0.95018655]]
[[ 0.1608928   0.83910728]]
[[ 0.34929654  0.65070343]]
[[ 0.29055768  0.70944232]]
[[ 0.31963965  0.68036032]]
[[ 0.3039732  0.6960268]]
[[ 0.10070908  0.89929092]]
[[ 0.00817087  0.9918291 ]]
[[ 0.1594853   0.84051466]]
[[ 0.36410785  0.63589215]]
[[ 0.06532933  0.93467075]]
[[ 0.35215554  0.64784449]]
[[ 0.29345778  0.70654219]]
[[ 0.08369381  0.9163062 ]]
[[ 0.22389463  0.7761054 ]]
[[ 0.12715869  0.8728413 ]]
[[ 0.80068439  0.19931556]]
[[ 0.49900079  0.50099921]]
[[ 0.04858854  0.95141143]]
[[ 0.25299561  0.74700439]]
[[ 0.03970329  0.96029675]]
[[ 0.22186318  0.77813685]]
[[ 0.43074316  0.56925678]]
[[ 0.28340149  0.71659857]]
[[ 0.27080339  0.72919661]]
[[ 0.16478719  0.83521277]]
[[ 0.07957578  0.92042416]]
[[ 0.11426298  0.885737  ]]
[[ 0.34416518  0.65583473]]
[[ 0.88960004  0.11040003]]
[[ 0.22229603  0.77770394]]
[[ 0.47109005  0.52891004]]
[[ 0.09985422  0.90014577]]
[[ 0.18451628  0.81548375]]
[[ 0.13060981  0.86939025]]
[[ 0.30666032  0.69333971]]
[[ 0.19037823  0.80962181]]
[[ 0.34472105  0.65527904]]
[[ 0.73988557  0.2601144 ]]
[[ 0.11841294  0.88158709]]
[[ 0.09889656  0.90110344]]
[[ 0.30379108  0.69620889]]
[[ 0.75011712  0.24988289]]
[[ 0.14564361  0.85435641]]
[[ 0.58269298  0.41730702]]
[[ 0.31089458  0.68910539]]
[[ 0.05933147  0.94066852]]
[[ 0.10562834  0.89437169]]
[[ 0.58463269  0.41536728]]
[[ 0.08269779  0.91730225]]
[[ 0.10769638  0.89230365]]
[[ 0.04709205  0.95290798]]
[[ 0.08517147  0.91482854]]
[[ 0.29919043  0.7008096 ]]
[[ 0.22110675  0.77889329]]
[[ 0.29596591  0.70403409]]
[[ 0.44537929  0.55462074]]
[[ 0.24183413  0.7581659 ]]
[[ 0.31118271  0.68881732]]
[[ 0.7468434   0.25315654]]
[[ 0.38052908  0.61947089]]
[[ 0.26854306  0.73145694]]
[[ 0.13263522  0.86736476]]
[[ 0.02559048  0.97440952]]
[[ 0.3404462   0.65955371]]
[[ 0.08010707  0.91989297]]
[[ 0.30933046  0.69066954]]
[[ 0.19968078  0.80031925]]
[[ 0.9076702   0.09232987]]
[[ 0.57421112  0.42578888]]
[[ 0.28786784  0.71213216]]
[[ 0.75582623  0.24417374]]
[[ 0.30936053  0.6906395 ]]
[[ 0.72107965  0.27892038]]
[[ 0.91620612  0.08379395]]
[[ 0.32609069  0.67390931]]
[[ 0.64326137  0.35673869]]
[[ 0.4350543  0.5649457]]
[[ 0.06867076  0.93132919]]
[[ 0.21854506  0.78145498]]
[[ 0.16673009  0.83326989]]
[[ 0.35326046  0.64673954]]
[[ 0.77874273  0.22125731]]
[[ 0.55767643  0.4423236 ]]
[[ 0.4244189   0.57558107]]
[[ 0.0985863   0.90141368]]
[[ 0.58316505  0.41683486]]
[[ 0.12474658  0.87525338]]
[[ 0.29845822  0.70154172]]
[[ 0.21614793  0.7838521 ]]
[[ 0.0596768   0.94032317]]
[[ 0.379498  0.620502]]
[[ 0.22770166  0.77229834]]
[[ 0.17519088  0.82480913]]
[[ 0.14497986  0.85502017]]
[[ 0.15020449  0.84979546]]
[[ 0.47869512  0.52130485]]
[[ 0.80585784  0.19414218]]
[[ 0.35026997  0.64972997]]
[[ 0.13756393  0.86243612]]
[[ 0.08800367  0.91199636]]
[[ 0.23520255  0.76479745]]
[[ 0.3044858  0.6955142]]
[[ 0.34182864  0.6581713 ]]
[[ 0.33843717  0.66156286]]
[[ 0.8881712   0.11182881]]
[[ 0.23716664  0.7628333 ]]
[[ 0.06280241  0.93719757]]
[[ 0.15301377  0.84698629]]
[[ 0.30017871  0.69982129]]
[[ 0.30215633  0.69784361]]
[[ 0.17755912  0.82244092]]
[[ 0.5137676   0.48623237]]
[[ 0.39742008  0.60257995]]
[[ 0.27535537  0.72464466]]
[[ 0.31986457  0.68013543]]
[[ 0.12526557  0.87473446]]
[[ 0.98307377  0.01692623]]
[[ 0.12723342  0.87276655]]
[[ 0.30228636  0.69771361]]
[[ 0.43715829  0.56284165]]
[[ 0.05182662  0.94817334]]
[[ 0.09905785  0.90094209]]
[[ 0.30373967  0.69626033]]
[[ 0.74102974  0.25897023]]
[[ 0.17929649  0.82070345]]
[[ 0.57396078  0.42603916]]
[[ 0.14444916  0.85555089]]
[[ 0.53438365  0.46561632]]
[[ 0.0744685   0.92553145]]
[[ 0.16383143  0.83616859]]
[[ 0.2299688   0.77003127]]
[[ 0.33780244  0.66219759]]
[[ 0.17855312  0.82144684]]
[[ 0.11212551  0.88787448]]
[[ 0.13065842  0.86934155]]
[[ 0.15754899  0.84245098]]
[[ 0.5200547   0.47994524]]
[[ 0.14001751  0.85998249]]
[[ 0.11823294  0.88176703]]
[[ 0.08282979  0.91717017]]
[[ 0.09506694  0.90493304]]
[[ 0.50097251  0.49902752]]
[[ 0.43344113  0.5665589 ]]
[[ 0.1526911   0.84730887]]
[[ 0.21536687  0.78463316]]
[[ 0.09580209  0.90419799]]
[[ 0.26929483  0.7307052 ]]
[[ 0.48916659  0.51083344]]
[[ 0.10272945  0.8972705 ]]
[[ 0.30328003  0.69672   ]]
[[ 0.18025048  0.81974947]]
[[ 0.1617092   0.83829075]]
[[ 0.13758381  0.86241621]]
[[ 0.46524623  0.53475374]]
[[ 0.29442957  0.70557052]]
[[ 0.12950511  0.87049496]]
[[ 0.41207626  0.58792377]]
[[ 0.80939221  0.19060779]]
[[ 0.30481634  0.69518363]]
[[ 0.35919681  0.64080316]]
[[ 0.447245  0.552755]]
[[ 0.48516992  0.51483011]]
[[ 0.44662532  0.55337459]]
[[ 0.93681312  0.06318687]]
[[ 0.3012175   0.69878244]]
[[ 0.30178529  0.69821465]]
[[ 0.27806553  0.7219345 ]]
[[ 0.2818121   0.71818793]]
[[ 0.19827279  0.80172718]]
[[ 0.45677802  0.54322195]]
[[ 0.33402497  0.66597503]]
[[ 0.19335121  0.80664873]]
[[ 0.28333235  0.71666759]]
[[ 0.40083313  0.59916687]]
[[ 0.27326363  0.72673637]]
[[ 0.46493852  0.53506154]]
[[ 0.12076591  0.87923408]]
[[ 0.19950052  0.8004995 ]]
[[ 0.16261102  0.83738899]]
[[ 0.25163698  0.74836308]]
[[ 0.11065999  0.88933998]]
[[ 0.09986953  0.90013051]]
