[[ 0.03403211  0.96596789]]
[[ 0.53305459  0.46694541]]
[[ 0.1878352   0.81216478]]
[[ 0.28418583  0.71581417]]
[[ 0.30250421  0.69749582]]
[[ 0.14433187  0.85566807]]
[[ 0.33894959  0.66105038]]
[[ 0.30520791  0.69479203]]
[[ 0.11875977  0.88124025]]
[[ 0.18175992  0.81824011]]
[[ 0.14781658  0.8521834 ]]
[[ 0.17492326  0.82507676]]
[[ 0.09538579  0.90461421]]
[[ 0.1477627   0.85223728]]
[[ 0.13607809  0.86392188]]
[[ 0.1495775   0.85042244]]
[[ 0.51857889  0.48142114]]
[[ 0.5274359   0.47256419]]
[[ 0.05948694  0.94051307]]
[[ 0.51741141  0.48258856]]
[[ 0.48389226  0.51610768]]
[[ 0.13447599  0.86552405]]
[[ 0.31963965  0.68036032]]
[[ 0.01587647  0.98412353]]
[[ 0.10519546  0.89480454]]
[[ 0.50502336  0.49497664]]
[[ 0.06368351  0.93631643]]
[[ 0.17970146  0.82029849]]
[[ 0.14222139  0.85777861]]
[[ 0.389162  0.610838]]
[[ 0.74591178  0.25408825]]
[[ 0.12700564  0.87299436]]
[[ 0.50030297  0.49969703]]
[[ 0.3039732  0.6960268]]
[[ 0.0755603   0.92443967]]
[[ 0.30176646  0.69823354]]
[[ 0.14400847  0.85599148]]
[[ 0.17818657  0.8218134 ]]
[[ 0.14456475  0.85543531]]
[[ 0.12572739  0.87427258]]
[[ 0.13184713  0.86815286]]
[[ 0.19117121  0.80882883]]
[[ 0.11890646  0.88109356]]
[[ 0.50790006  0.4921    ]]
[[ 0.29333007  0.70666999]]
[[ 0.52934265  0.47065738]]
[[ 0.13825081  0.86174923]]
[[ 0.50070304  0.49929699]]
[[ 0.52177149  0.47822851]]
[[ 0.11756273  0.88243735]]
[[ 0.70649421  0.29350579]]
[[ 0.4024564  0.5975436]]
[[ 0.11782408  0.88217592]]
[[ 0.29544622  0.70455384]]
[[ 0.03505418  0.96494585]]
[[ 0.18706405  0.81293595]]
[[ 0.18826045  0.8117395 ]]
