[[ 0.211273    0.78872693]]
[[ 0.55642253  0.44357744]]
[[ 0.40391552  0.59608448]]
[[ 0.4161382   0.58386177]]
[[ 0.31547481  0.68452519]]
[[ 0.07818498  0.92181504]]
[[ 0.60429698  0.39570296]]
[[ 0.39282143  0.60717857]]
[[ 0.10645168  0.89354825]]
[[ 0.53382981  0.46617016]]
[[ 0.27628529  0.72371477]]
[[ 0.43490794  0.56509203]]
[[ 0.16678554  0.83321446]]
[[ 0.26693097  0.73306906]]
[[ 0.25726616  0.7427339 ]]
[[ 0.21393846  0.78606153]]
[[ 0.14120561  0.85879439]]
[[ 0.12700564  0.87299436]]
[[ 0.18194149  0.81805849]]
[[ 0.17970146  0.82029849]]
[[ 0.05789863  0.94210136]]
[[ 0.13184713  0.86815286]]
[[ 0.14781658  0.8521834 ]]
[[ 0.60909045  0.39090958]]
[[ 0.70465571  0.2953442 ]]
[[ 0.21670678  0.78329319]]
[[ 0.10239395  0.89760607]]
[[ 0.0682277   0.93177229]]
[[ 0.10548149  0.89451855]]
[[ 0.1203218   0.87967825]]
[[ 0.70229101  0.29770896]]
[[ 0.39129257  0.60870743]]
[[ 0.12639832  0.87360168]]
[[ 0.02030056  0.97969943]]
[[ 0.75750023  0.24249981]]
[[ 0.21874164  0.78125829]]
[[ 0.12669142  0.87330854]]
[[ 0.16309075  0.83690923]]
[[ 0.17204358  0.82795644]]
[[ 0.11638884  0.8836112 ]]
[[ 0.34415153  0.6558485 ]]
[[ 0.17871301  0.82128698]]
[[ 0.34326234  0.65673769]]
[[ 0.43846807  0.5615319 ]]
[[ 0.18287788  0.8171221 ]]
[[ 0.53305459  0.46694541]]
[[ 0.01443051  0.98556954]]
[[ 0.17475587  0.82524413]]
[[ 0.59555656  0.40444347]]
[[ 0.12505399  0.874946  ]]
[[ 0.44782102  0.55217904]]
[[ 0.57606786  0.42393216]]
[[ 0.20439616  0.79560381]]
[[ 0.336153    0.66384697]]
[[ 0.22193217  0.77806777]]
[[ 0.44669345  0.55330658]]
[[ 0.11866313  0.88133681]]
[[ 0.19273406  0.80726594]]
[[ 0.35737187  0.64262813]]
[[ 0.13534451  0.86465544]]
[[ 0.06680694  0.93319309]]
[[ 0.16267462  0.83732539]]
[[ 0.15175791  0.8482421 ]]
[[ 0.13607809  0.86392188]]
[[ 0.50763148  0.49236858]]
[[ 0.42526138  0.57473856]]
[[ 0.22976917  0.77023083]]
[[ 0.21560204  0.78439802]]
[[ 0.29316419  0.70683575]]
[[ 0.17655882  0.82344121]]
[[ 0.38315406  0.61684591]]
[[ 0.62833542  0.37166467]]
[[ 0.08702951  0.91297042]]
[[ 0.16184922  0.8381508 ]]
[[ 0.11771863  0.88228142]]
[[ 0.13994204  0.86005795]]
[[ 0.2822952   0.71770483]]
[[ 0.17409645  0.82590353]]
[[ 0.18049055  0.81950939]]
[[ 0.61318475  0.38681528]]
[[ 0.14230958  0.85769045]]
[[ 0.15665917  0.84334081]]
[[ 0.08441969  0.91558027]]
[[ 0.15355977  0.84644026]]
[[ 0.13447599  0.86552405]]
[[ 0.24958383  0.75041616]]
[[ 0.22250672  0.77749324]]
[[ 0.16298735  0.83701265]]
[[ 0.055535    0.94446504]]
[[ 0.68657589  0.31342414]]
[[ 0.09029265  0.90970737]]
[[ 0.112883    0.88711703]]
[[ 0.18988281  0.81011719]]
[[ 0.07468081  0.92531919]]
[[ 0.71064448  0.28935555]]
[[ 0.09745325  0.90254676]]
[[ 0.12925608  0.87074399]]
[[ 0.71235198  0.28764799]]
[[ 0.07858241  0.92141759]]
[[ 0.25917947  0.74082053]]
[[ 0.80088401  0.19911595]]
[[ 0.07812708  0.92187297]]
[[ 0.0975226   0.90247744]]
[[ 0.07311662  0.9268834 ]]
[[ 0.19493708  0.80506295]]
[[ 0.1448599   0.85514009]]
[[ 0.13196798  0.86803204]]
[[ 0.17499878  0.8250013 ]]
[[ 0.20140901  0.79859108]]
[[ 0.12702064  0.87297934]]
[[ 0.11935215  0.8806479 ]]
[[ 0.2111913  0.7888087]]
[[ 0.4244189   0.57558107]]
[[ 0.14222139  0.85777861]]
[[ 0.21972932  0.78027076]]
[[ 0.38280207  0.61719799]]
[[ 0.11884272  0.88115722]]
[[ 0.18011574  0.81988424]]
[[ 0.16895314  0.83104688]]
[[ 0.09683244  0.90316761]]
[[ 0.73629647  0.26370358]]
[[ 0.3333286   0.66667145]]
[[ 0.22045179  0.77954823]]
[[ 0.06266594  0.937334  ]]
[[ 0.18803693  0.81196308]]
[[ 0.27322489  0.72677517]]
[[ 0.15975173  0.84024823]]
[[ 0.09821299  0.90178704]]
[[ 0.61712849  0.38287154]]
